id,titulo,corpo,label
35,"Contra interferência de Trump e seus aliados no Brasil, governo Lula muda slogan e aposta em estratégia nacionalista","247 - Dois anos e meio após o início do terceiro mandato do presidente Luiz Inácio Lula da Silva (PT), o governo federal se prepara para aposentar o slogan “União e Reconstrução”. A mudança de estratégia visa reposicionar a comunicação oficial e dissociar a imagem do governo da do Centrão, que tem protagonizado embates com o Planalto. Segundo reportagem do jornal O Estado de S.Paulo deste domingo (13), a nova palavra de ordem busca enfatizar justiça social, combate aos privilégios e valorização do trabalho como pilares centrais da gestão.
Em uma publicação nas redes sociais, o presidente Lula publicou uma imagem com o slogan “Brasil soberano”, seguido de uma frase da nota publicada nessa quarta-feira (9/7). “O Brasil é um país soberano com instituições independentes que não aceitará ser tutelado por ninguém”, diz a publicação.
A troca de slogan foi acelerada após o desgaste provocado pela tentativa frustrada de aumentar as alíquotas do IOF (Imposto sobre Operações Financeiras), que culminou em uma crise com o Congresso. Partidos aliados, mas independentes do PT, barraram o decreto presidencial, levando o governo a recorrer ao Supremo Tribunal Federal. A disputa escancarou a fragilidade da coalizão e estimulou o Planalto a reforçar sua identidade política.
Para recuperar apoio, a comunicação oficial agora se concentra em destacar que “reforçar os privilégios” é o maior obstáculo à prosperidade coletiva. A ideia é ir além da narrativa “ricos contra pobres” e mostrar que os programas sociais e de crédito também atendem à classe média. “O principal adversário do Brasil é o sistema de desigualdade montado para favorecer 1% da população contra os outros 99%”, repetem ministros em entrevistas, conforme orientação da Secretaria de Comunicação Social (Secom).
Essa guinada na narrativa tem a digital do publicitário Sidônio Palmeira, ministro-chefe da Secom, que assumiu o cargo em janeiro com a missão de reverter o desgaste do presidente. No entanto, o desafio tem sido maior do que o esperado: pesquisas internas indicam que Lula perdeu apoio até mesmo no Nordeste, tradicional reduto do PT, e entre os eleitores mais pobres. “Eu vim aqui para fazer um doutorado. Estou ministro hoje e amanhã posso não estar. Não tenho interesse político”, afirmou Sidônio ao Estadão.
Desde que assumiu o posto, Sidônio já enfrentou ao menos 12 crises de comunicação, que vão desde boatarias sobre tributação do Pix até polêmicas envolvendo ministros e ataques nas redes sociais. Uma das campanhas mais recentes, que propôs isenção de IR para quem ganha até R$ 5 mil, foi batizada informalmente de “BBB” — alusão à taxação de Bilionários, Bancos e Apostas. Monitoramentos indicam que a iniciativa teve boa aceitação.
O vice-presidente Geraldo Alckmin, também ministro da Indústria e Comércio, elogiou o trabalho do marqueteiro. “A comunicação é sempre um desafio, mas o Sidônio tem experiência, sensibilidade e vai avançar mais ainda”, afirmou.
Ainda assim, a atuação da Secom provocou reação no Congresso. Mensagens nas redes sociais criticando parlamentares e chamando o Legislativo de “Congresso da mamata” incomodaram deputados da base e da oposição, em especial o presidente da Câmara, Hugo Motta (Republicanos-PB). O ministro foi convocado a prestar esclarecimentos, mas conseguiu adiar sua ida ao plenário para agosto.
Até lá, o novo slogan — ainda mantido sob sigilo — deverá estar nas ruas e nas peças institucionais do governo. Segundo apurou o Estadão, a nova mensagem terá um toque nacionalista, reforçado após o presidente dos EUA, Donald Trump, anunciar uma taxação de 50% sobre produtos brasileiros. A justificativa do republicano foi o julgamento de Jair Bolsonaro (PL) por tentativa de golpe, o que irritou o governo brasileiro. Em resposta, Lula voltou a exibir o boné com a frase “O Brasil é dos brasileiros”.
Sidônio também teve atritos com o ministro da Fazenda, Fernando Haddad. Um dos embates ocorreu após a revogação de uma norma da Receita Federal sobre fiscalização financeira via Pix. Mesmo com a resistência de Haddad, a medida foi revertida após pressão nas redes. Um vídeo com desinformação, publicado pelo deputado Nikolas Ferreira (PL-MG), ultrapassou 200 milhões de visualizações e contribuiu para o recuo.
Apesar das dificuldades, Sidônio insiste em intensificar a exposição de Lula na mídia e aproximá-lo da população. “Sou uma pessoa determinada”, disse ao jornal. Lula, no entanto, resiste a dar mais entrevistas, mesmo diante das recomendações da equipe de comunicação.
Para o Planalto, a nova fase do governo exige um discurso mais afiado e combativo. A expectativa é que o novo slogan funcione como um divisor de águas entre a primeira metade da gestão e a caminhada até 2026, quando Lula deve decidir se disputará mais uma vez a Presidência da República.",-1
22,Carlos Viana escolhe Alfredo Gaspar como relator da CPMI do INSS,"Após ser eleito presidente da CPMI do INSS, Carlos Viana (Podemos-MG) designou nesta quarta-feira, 20, o deputado Alfredo Gaspar (União-AL) como relator do colegiado. A vitória de Viana sobre Omar Aziz (PSD-AM) e a troca do nome do relator, que seria Ricardo Ayres (Republicanos-TO), representam uma retomada do controle da comissão pela oposição, de quem partiu a iniciativa de pedir a criação da CPMI.
Omar Aziz tinha o apoio do presidente do Senado, Davi Alcolumbre (União-AP), para ser o presidente do colegiado, e Ayres havia sido anunciado pelo presidente da Câmara, Hugo Motta (Republicanos-PB), como relator. Porém, os dois nomes desagradavam a oposição, por entender que eram muito governistas.
A Comissão Parlamentar Mista de Inquérito vai apurar o esquema nacional de descontos associativos não autorizados em aposentadorias e pensões.
“Meu agradecimento a cada um dos 17 parlamentares que depositaram a confiança em meu nome. Uma articulação que foi feita nos últimos dias, especialmente nas últimas 24 horas. Conversei com a maioria dos membros, com todos eles, percebi em cada um o desejo de que esta CPMI traga respostas e cumpra com o papel dela. A população brasileira, o povo brasileiro, espera muito de nós. E eu tenho confiança absoluta de que não vamos decepcionar o nosso Brasil”, disse Viana após ser eleito presidente.
“Não há este governo, o governo anterior, não há aqui qualquer desejo de prejudicar a quem quer que seja que esteja na responsabilidade do INSS nos dias atuais ou dias passados. Quem está aqui é um presidente eleito que quer esclarecer o que aconteceu, pedir a punição dos culpados, e principalmente gerar novos projetos e políticas que não permitam a repetição de um momento tão vergonhoso para o Brasil como o desvio de dinheiro de aposentados, pensionistas”.
Ele ressaltou ainda que o colegiado tem “uma missão muito grande pela frente“. “E eu confio principalmente no bom senso, na responsabilidade, mas no respeito entre todos os partidos e todos os parlamentares”.
O presidente da CPMI explicou que escolheu Gaspar porque precisam para a relatoria de “um nome técnico, alguém que conheça das leis e principalmente tenha experiência também nas investigações“. “Não podemos fazer com que essa CPMI perca o rumo, muito menos que caia em armadilhas políticas, ideológicas, ou mesmo não consiga atingir as pessoas que são responsáveis por esse desvio do INSS”.
O vice-presidente do colegiado será eleito na próxima sessão, que ainda será marcada. Os deputados Marcel van Hattem (Novo-RS), Zé Trovão (PL-SC), Bia Kicis (PL-DF) e Coronel Fernanda (PL-MT) e Duarte Júnior (PSB-MA) se colocaram como interessados no posto.",1
25,"Crusoé: 57% acham que o Brasil está na direção errada, aponta Quaest","Embora a aprovação do presidente Lula (PT) tenha subido em agosto, a maioria dos brasileiros acha que o Brasil está na direção errada.
Segundo pesquisa Genial/Quaest, divulgada nesta quarta-feira, 20, 57% dos entrevistados disseram que o país está indo na direção “errada”, ante 36% que veem o Brasil caminhando na direção “certa”.
Em julho, 58% dos entrevistados afirmaram que a direção estava “errada” e 34%, “certa”. Em maio, os percentuais eram 61% e 32%, respectivamente.
A economia brasileira “piorou” para 46%, ficou “do mesmo jeito” para 30% e “melhorou” para 22% em agosto.
No mês anterior, a percepção sobre a economia era semelhante: 46% diziam que “piorou”, 30% que estava “do mesmo jeito” e 21% que “melhorou”.
O ápice da percepção de piora da economia foi em março, quando 56% dos entrevistados disseram que a economia havia piorado.
A aprovação do petista subiu de 43% em julho para 46% em agosto. A desaprovação, por sua vez, recuou de 53% para 51% no mesmo período.
Em maio, Lula era aprovado por 40% e desaprovado por 57%.
O percentual de entrevistados que avaliam o governo Lula como “negativo” recuou de 40% para 39% na passagem de julho para agosto.
Por outro lado, os respondentes que veem o governo como “positivo” subiram de 28% para 31%.
Os que consideram o governo “regular” oscilaram de 28% para 27%.
Diretor da Quaest, o cientista político Felipe Nunes atribuiu a melhora dos números de Lula à percepção dos entrevistados de queda nos preços dos alimentos no supermercado.
“Depois de mais de um ano e meio, a parcela de brasileiros que percebe alta no preço dos alimentos caiu para perto de 60%. Esse alívio no bolso impulsionou a popularidade do governo, sobretudo entre os mais pobres”, afirmou Nunes.
Comparado a agosto de 2024, o poder de compra dos brasileiros é menor para 70% dos entrevistados pela Quaest.
A Quaest entrevistou…
Siga a leitura em Crusoé. Assine e apoie o jornalismo independente.",1
86,Popularidade do governo sofre queda em nova pesquisa Datafolha,"247 - A pesquisa Datafolha, divulgada nesta quinta-feira (12), apontou que 28% dos eleitores brasileiros consideram o governo do presidente Luiz Inácio Lula da Silva (PT) ótimo ou bom. O percentual representa uma queda de 1 ponto percentual em comparação com abril (29%). 
De acordo com o levantamento, 40% dos entrevistados avaliam o governo como ruim ou péssimo, alta de 2 pontos percentuais em relação à pesquisa anterior (38%).
A avaliação regular da gestão de Lula ficou em 31%, registrando uma queda de 1 ponto percentual na comparação com abril (32%). 1% dos entrevistados não soube responder, mantendo-se o mesmo índice do levantamento anterior.
A pesquisa, divulgada pelo jornal Folha de S.Paulo, foi realizada de forma presencial com 2.004 pessoas de 16 anos ou mais em 136 cidades brasileiras nos dias 10 e 11 de junho. A margem de erro é de 2 pontos percentuais, para mais ou para menos.",-1
82,Lira diz que ‘publico alvo não seria o ideal’ se houvesse mudança em gastos de saúde e educação no IR,"O relator do projeto de lei (PL) que amplia a isenção do Imposto de Renda, Arthur Lira (PP-AL), indicou nesta terça-feira (12), que sua equipe chegou a fazer estudos sobre gastos de saúde e educação no IR, mas não se optou por tratar do tema no texto discutido em Comissão Especial no primeiro semestre porque o “público alvo não seria o ideal”. A indicação foi feita após ponderação do deputado Zacarias Calil (União-GO), da Frente Parlamentar Mista da Saúde, durante almoço promovido pela Frente Parlamentar do Empreendedorismo com Lira. O parlamentar externou preocupação com os impactos do projeto no campo da saúde e questionou sobre possibilidades de mudanças no tratamento dos gastos com saúde e educação no IR. Lira frisou que sua equipe fez estudos sobre o tema, mas que a questão não entrou no projeto aprovado na Comissão Especial no final do primeiro semestre.
Segundo Lira, foram feitos estudos com relação a tais gastos, que juntos performam cerca de R$ 35 bilhões por ano, e a questão do ressarcimento de despesas – neste ponto, o deputado lembrou que há limite para o ressarcimento no campo de educação, mas não no campo da saúde. Segundo o ex-presidente da Câmara, no final das contas, a classe média iria arcar com as restituições e não os hiper ricos – faixa que o PL visa atingir. A questão da restituição recairia sobre quem ganha entre R$ 20 e 50 mil, segundo Lira. “O público alvo não seria o ideal e foi afastada essa possibilidade, com relação à renúncia tributária”, destacou.
*Com informações do Estadão Conteúdo
Publicado por Fernando Dias",1
27,Três cidades europeias incríveis que fogem do roteiro comum,"Explorar a Europa vai muito além das cidades mais conhecidas. Descobrir destinos únicos e menos explorados pode proporcionar experiências incríveis e memoráveis.
Estrasburgo é um centro cultural que mistura influências francesas e alemãs. A cidade abriga a sede do Parlamento Europeu, refletindo sua importância geopolítica.
Além disso, o centro histórico conhecido como Grande Île é listado como Patrimônio Mundial da UNESCO, com suas ruas charmosas e arquitetura gótica marcante.
A cidade portuária de Gdańsk é famosa por seu papel na história do país, especialmente durante a Segunda Guerra Mundial. Hoje, ela oferece uma mistura vibrante de história e cultura moderna.
A arquitetura lindamente preservada, como a Rua Longa, encanta visitantes que buscam algo além dos roteiros tradicionais na Polônia.
Localizada no norte da Espanha, Bilbao é uma cidade que surpreende com sua cena artística. Destaca-se o Museu Guggenheim Bilbao, uma obra-prima da arquitetura contemporânea.
Além disso, a culinária basca e os pintxos, tradicionais tapas locais, são uma atração à parte para os amantes da gastronomia.
Dica rápida: Ao planejar sua viagem, considere utilizar o transporte público local para uma experiência autêntica e sustentável.
Leia também:Cultura, praias e gastronomia, tudo unido em uma das cidade mais vibrantes do País
Planejar uma viagem a destinos menos óbvios na Europa requer pesquisa e disposição para sair do roteiro tradicional, garantindo uma experiência autêntica.
Considere viajar fora da alta temporada para encontrar essas cidades mais tranquilas e acessíveis.",1
78,Lula se reúne com Motta e presidente do Republicanos no Alvorada,"O presidente Lula (PT) deve se reunir nesta terça-feira, 19, com o presidente da Câmara dos Deputados, Hugo Motta (Republicanos-PB), e o presidente nacional do Republicanos, deputado Marcos Pereira (SP), no Palácio do Alvorada. Os parlamentares foram convidados para um almoço com o petista. O líder do Republicanos na Câmara, Gilberto Abramo (MG), e o ministro de Portos e Aeroportos, Silvio Costa Filho, que é filiado ao partido, também foram chamados.
A pauta do encontro não foi divulgada. Porém, deve ser discutida a relação do Republicanos com o governo.
No Congresso Nacional, entre as prioridades do Executivo neste semestre, estão o projeto de lei que amplia a isenção do Imposto de Renda (IR) para quem ganha até 5 mil reais mensais e a chamada PEC da Segurança Pública. O projeto do IR já foi aprovado pela comissão especial e aguarda ser pautado por Motta no plenário da Casa. O relator é o ex-presidente da Câmara Arthur Lira (PP-AL), aliado do deputado do Republicanos.
Já a PEC da Segurança Pública foi aprovada pela Comissão de Constituição e Justiça (CCJ) da Câmara e será analisada por uma comissão especial, que ainda precisa ser instalada. A proposta dá status constitucional ao Sistema Único de Segurança Pública (Susp), de forma parecida ao que acontece com o Sistema Único de Saúde (SUS) e com o Sistema Nacional de Educação (SNE).
Além disso, transforma a Polícia Rodoviária Federal em Polícia Viária Federal, que fará o policiamento ostensivo em rodovias, ferrovias e hidrovias federais; formaliza o papel das Guardas Municipais no policiamento ostensivo e comunitário; e estabelece órgãos autônomos de correição, com a função de apurar a responsabilidade funcional dos profissionais de segurança pública e defesa social.
Está prevista para esta semana também o envio pelo governo ao Congresso de um projeto de lei para regulamentar as redes sociais. O líder do governo no Senado, Jaques Wagner (PT-BA), disse na segunda-feira, 18, que o texto deve ser enviar nesta semana. O petista ainda defendeu a medida.
Sou a favor da regulamentação do uso da Internet. Esse é um tema urgente! Já foi aprovado um Projeto de Lei no Senado e que está na Câmara (PL 2628), apoiado por nós. Ainda assim, até o final dessa semana, o governo Lula deve encaminhar ao Congresso novas medidas de regulação“, escreveu o senador no X.
“A Internet é um bem criado pela humanidade, mas o mau uso dela tem gerado graves problemas: desinformação, crimes como pedofilia e, mais recentemente, o mau uso da Inteligência Artificial. É fundamental a regulamentação para que haja responsabilidade sobre o conteúdo produzido e compartilhado. O mundo virtual não pode continuar como terra sem lei”.
O projeto de lei 2628/2022, citado por Jaques Wagner, é de autoria do senador Alessandro Vieira (MDB-SE) e cria regras de proteção de crianças e adolescentes em ambientes digitais. O presidente da Câmara, Hugo Motta (Republicanos-PB), quer votá-lo no plenário da Casa na quarta-feira, 20.
O texto obriga todos os produtos e serviços de tecnologia a terem mecanismos para impedir, ativamente, o uso por crianças e adolescentes quando não tiverem sido desenvolvidos para esse público ou quando não forem adequados a ele.",1
36,"Presidente dos EUA é ‘inimigo da saúde’, afirma Alexandre Padilha","O ministro da Saúde, Alexandre Padilha, criticou nesta quinta-feira (14) o presidente dos Estados Unidos, Donald Trump, a quem se referiu como “inimigo da saúde” após revogação de visto de secretário da pasta, Mozart Júlio Tabosa Sales, e de Alberto Kleiman, um ex-funcionário do governo brasileiro por conta do programa Mais Médicos. Durante inauguração da fábrica de hemoderivados da Hemobrás em Goiana (PE), Padilha defendeu a parceria com médicos de Cuba e disse sentir orgulho da política e do trabalho dos funcionários públicos atacados.
Ele destacou que as famílias deles também estão impedidas de entrar nos EUA. O ministro fez ainda apontamentos a políticas do líder norte-americano, consideradas negacionistas. “Não estamos enfrentando só o tarifaço. Estamos enfrentando na figura do presidente atual dos EUA, um inimigo da saúde. Antes das tarifas, desde o início do governo dele, ele faz ataques à saúde do mundo como um todo”, disse o ministro. “Ele cortou recursos de produção de vacina dos EUA, ele começou a incentivar uma verdadeira perseguição contra pesquisadores de vacinas”.
Padilha continuou a crítica mencionando que pesquisadores estão sendo atraídos ao Brasil após saírem dos EUA por conta da suposta perseguição. O ministro reprovou a saída do país norte-americano da Organização Mundial de Saúde (OMS) e outras políticas adotadas por Trump. “Saiu dos principais fundos de produção de vacinas. Rasgou contratos de produção de vacina com empresas lá dos EUA, porque não quer mais apostar na vacina de RNA mensageiro”, afirmou Padilha, comparando-o com o presidente Luiz Inácio Lula da Silva (PT). “O seu governo está criando duas plantas de produção de vacina de RNA mensageiro … O Brasil vai passar na frente deles na corrida por essa nova tecnologia”.
*Com informações do Estadão Conteúdo
Publicado por Nícolas Robert",1
62,Tarcísio cobra Lula por ligação a Donald Trump para negociar tarifaço,"O governador de São Paulo, Tarcísio de Freitas (Republicanos), defendeu nesta segunda-feira (11) que o presidente Luiz Inácio Lula da Silva (PT) ligue para o presidente dos Estados Unidos, Donald Trump, para negociar as tarifas impostas a produtos brasileiros desde 6 de agosto. A declaração foi feita durante o Congresso Brasileiro do Agronegócio, em São Paulo. “Quantas vezes vamos ter reuniões de alto nível no Departamento de Estado? Quantas vezes vamos ter a ligação do presidente brasileiro com o presidente americano? É isso que vai fazer a diferença, para que a gente mostre e traga os argumentos”, afirmou.
O governador criticou a Lei da Reciprocidade, sancionada por Lula em 15 de julho, que autoriza o Brasil a retaliar países que adotem medidas unilaterais prejudiciais à competitividade nacional. Para Tarcísio, o instrumento “fica na gaveta” e não funciona contra economias muito maiores que a brasileira. Ele defendeu “ir para a mesa de negociação” e manter equilíbrio nas relações com EUA e China.
O ministro da Fazenda, Fernando Haddad (PT), reagiu às declarações e classificou a proposta como “um pouco ingênua”. Segundo ele, conversas diretas entre chefes de Estado exigem preparação prévia para gerar resultados e, atualmente, nem ministros das duas nações têm conseguido avançar no diálogo por causa de resistências nos EUA.






Siga o canal da Jovem Pan News e receba as principais notícias no seu WhatsApp!






WhatsApp






Desde o anúncio do tarifaço de 50% por Trump, em 9 de julho, Tarcísio alterou o tom. Após críticas iniciais ao governo federal, passou a buscar protagonismo nas negociações, reunindo-se com representantes da embaixada americana e sinalizando contatos com governadores de estados dos EUA para tentar reduzir a tarifa. No evento do agronegócio, a retirada de tarifas para setores de alimentos também foi discutida. O presidente da ApexBrasil, Jorge Viana, anunciou planos para abrir um escritório em Washington e contratar consultorias para auxiliar nas negociações com o governo americano.
Publicado por Felipe Dantas
*Reportagem produzida com auxílio de IA",1
9,"Justiça brasileira bloqueia contas de marido de Carla Zambelli, presa na Itália","A Justiça brasileira bloqueou nesta quarta-feira (13) as contas de Antônio Aginaldo de Oliveira, marido da deputada federal licenciada Carla Zambelli (PL-SP). A decisão foi tomada pelo Supremo Tribunal Federal (STF), e faz parte de uma medida ligada a processos que correm sob sigilo. Aginaldo, que inicialmente acompanhou a mulher na ida à Europa, está agora em Israel e não tem previsão de retorno ao Brasil. As informações foram confirmadas pela defesa do casal.
O marido de Zambelli é Coronel da reserva da Polícia Militar e ex-comandante da Força Nacional durante o governo de Jair Bolsonaro (PL), Oliveira foi exonerado em junho deste ano do cargo de secretário de Segurança Pública de Caucaia, no interior do Ceará. Antes da exoneração, ele já havia pedido afastamento do cargo por motivos de “doença em pessoa da família”, conforme consta no Diário Oficial do município.
Em maio, Carla Zambelli foi condenada a dez anos de prisão por invadir o sistema do Conselho Nacional de Justiça (CNJ) com o auxílio do hacker Walter Delgatti, condenado a oito anos e três meses de prisão no mesmo processo. O objetivo era incluir a emissão de um mandado de prisão falso contra o ministro Alexandre de Moraes, do STF. Ela também foi condenada à perda do mandato parlamentar e ao pagamento de R$ 2 milhões em danos morais coletivos, multa a ser paga também por Delgatti.
Após a condenação, enquanto ainda tramitavam recursos, Zambelli viajou para a Europa e se tornou foragida da Justiça brasileira, mas foi presa na Itália em julho. Diante do pedido de extradição emitido pelo STF, a deputada licenciada aguarda que o país europeu decida se ela será processada na Itália ou seguirá para o Brasil. Como mostrado pelo Estadão, o processo de extradição pode durar de um ano e meio a dois anos, segundo especialistas.
Uma nova audiência foi realizada na manhã desta quarta-feira, 13, mas ainda não houve decisão sobre a possibilidade de Zambelli aguardar o processo em liberdade ou em prisão domiciliar. Ela continuará presa, porém, até que a Justiça italiana avalie questões de saúde, após a deputada alegar ter passado mal hoje.
*Com informações do Estadão Conteúdo
Publicado por Sarah Paula",1
