id,titulo,corpo
0,Avião usado pela CIA pousa em Porto Alegre com destino a São Paulo,"UmBoeing 757pertencente aogoverno dos Estados Unidospousou na tarde desta terça-feira, 19, no Aeroporto Salgado Filho, em Porto Alegre, segundoO Globo.
A aeronave,conhecida por operar em missões especiais e frequentemente associada à CIA, a Agência Central de Inteligência dos EUA, chama atenção sua discrição.
Oavião não apresenta nenhum registro em sua fuselagem brancae é chamado no mundo militar como C-32B, um modelo modificado do Boeing 757-200.
OC-32Bé operado pelo 150º Esquadrão de Operações Especiais da Força Aérea Americana, baseado em Nova Jersey.
Além disso, a aeronave costuma ter como função principal transportar equipes de ação rápida do Departamento de Estado, compostas por diplomatas, militares de elite e agentes de inteligência.
O avião decolou de Nova Jersey, em 18 de agosto, até Porto Alegre. Antes, fez escalas em Tampa, na Flórida, e San Juan, em Porto Rico.
Por volta de 19h52, o avião partiu da capital gaúcha com destino ao Aeroporto Internacional de Guarulhos, em São Paulo.
Apelidado de “Gatekeeper” (“Porteiro”), o avião já foi mobilizado em crises internacionais, entre elas a explosão no porto de Beirute, em 2020.
Também foi usado em eventos de grande visibilidade, incluindo os Jogos Olímpicos.
A aeronave é equipada com sistemas avançados de comunicação, sensores e capacidade de reabastecimento em voo, oferecendo mobilidade e autonomia a operações sigilosas em qualquer parte do mundo."
1,Este detalhe do Código de Trânsito já pegou ciclistas de surpresa,"OCódigo de Trânsito Brasileiro (CTB)estabelece um conjunto de normas destinado a organizar a circulação de pedestres e veículos em vias públicas. Dentre os diversos assuntos abordados por essa legislação encontra-se a regulamentação sobre o uso de bicicletas. Nesse contexto, é essencial compreender que ciclistas também estão sujeitos ao cumprimento de regras específicas, como qualquer outro veículo, ao transitar em vias públicas.
Com o crescente número de bicicletas nas ruas, principalmente em grandes cidades, saber quais são os deveres e direitos dos ciclistas torna-se crucial. Essa categoria de veículos não motorizados integra o trânsito e, por isso, deve seguir diretrizes que garantem sua segurança e a de outros usuários. Além de promover a segurança, essas regulamentações buscam harmonizar a convivência entre diferentes meios de transporte no espaço urbano.
O CTBdestinaum capítulo especial para tratar de regras específicas aos ciclistas. Segundo essa legislação, o ciclista deve sempre circular nas ciclovias ou ciclofaixas quando disponíveis. Na falta dessas infraestruturas, o uso do acostamento, de vias com velocidade máxima permitida de até 50 km/h, na faixa da direita e respeitando o sentido de circulação, é permitido.
É responsabilidade do ciclista cuidar da sua segurança e da dos demais usuários da via. Isso inclui garantir que a bicicleta esteja em bom estado de conservação e equipada com itens obrigatórios, como campainha, sinalização noturna (dianteira, traseira, lateral e nos pedais), além de espelho retrovisor do lado esquerdo. O uso de capacete, embora recomendado, ainda não é obrigatório em termos legais.
Embora haja flexibilidade em algumas regras, o descumprimento das normas estabelecidas pelo CTB pode resultar em penalidades. Ciclistas que andam pela calçada, fora das áreas permitidas, ou que não obedecem às sinalizações enfrentam riscos de advertências verbais. Em casos de infrações mais graves, como colocar em risco a segurança de pedestres, pode haver multas, conforme a gravidade do ato.
O uso adequado das bicicletas contribui para um trânsito mais seguro e democrático. Dessa forma, respeitar as normas não é apenas uma questão de cumprimento legal, mas também de cidadania e respeito mútuo entre todos os participantes do trânsito.
Compreendendo a importância das bicicletas como meio de transporte sustentável e acessível, muitas cidades brasileiras têm investido na implementação de ciclovias e ciclofaixas. Esse movimento visa não apenas garantir maior segurança aos ciclistas, mas também incentivar o uso deste modal diante dos desafios da mobilidade urbana contemporânea.
Além das infraestruturas físicas, campanhas de conscientização sobre a importância da convivência no trânsito buscam promover uma cultura de respeito às bicicletas. Iniciativas educativas abordam desde a importância do respeito à faixa de pedestres até questões mais complexas, como a prioridade de passagem e a distância segura entre veículos e bicicletas.
Entender que as bicicletas têm um papel fundamental na mobilidade urbana é essencial para a construção de cidades mais seguras e sustentáveis. O respeito às normas de trânsito, tanto por ciclistas quanto por motoristas, é um dos pilares para garantir que todos compartilhem o espaço público de maneira harmônica e responsável."
2,Câmara aprova projeto que cria 330 funções comissionadas para o STJ,"O plenário daCâmara dos Deputados aprovounesta terça-feira, 19,por 210 votos a 166,um projeto de leique cria330 funções comissionadaspara os gabinetes dos 33 ministros doSuperior Tribunal de Justiça(STJ). A proposta é de autoria da Corte. Agora, o texto segue para para análise doSenado Federal.
A previsão de gastos com as novas funções é de 8,7 milhões de reais em 2025 e de 17,5 milhões de reais de 2026 em diante, conforme os patamares atuais da remuneração. O valor de cada nova função é de 3.663 reais.
O relator na Câmara,Gabriel Nunes(PSD-BA), apresentou parecer favorável à proposta. Segundo o parlamentar, a criação das funções valoriza o trabalho na atividade-fim do STJ.“Faz frente a um desafio concreto da corte: a crescente complexidade dos processos e a consequente necessidade de quadros qualificados e comprometidos com a excelência da prestação jurisdicional”, afirmou, segundo aAgência Câmara.
Na justificativa do projeto, o presidente do STJ, ministroHerman Benjamin, disse que cada gabinete de ministro da Corte possui 38 servidores. Desse total, 24 posições são reservadas para servidores efetivos, sendo 22 ocupantes de funções comissionadas com valores de 1,4 mil reais a 2,6 mil reais.
Das funções comissionadas atuais, oito seriam remanejadas para outras áreas do STJ, como os setores responsáveis pela distribuição de processos, julgamento colegiado e cumprimento de determinações judiciais.
Ainda de acordo com aAgência Câmara, durante o debate do projeto no plenário da Casa Alta, O deputadoChico Alencar(Psol-RJ) reclamou da falta de mecanismos de controle, eficiência e meta para o trabalho dos servidores que vão ganhar a função.“É sim um aspecto de mordomia, de demasia para o STJ”, disse.
Já o deputadoMarcel Van Hattem(RS) ressaltou que as funções representam mais de dois salários mínimos por servidor.“Vamos votar mais aumento para o Judiciário mais caro do mundo? Para não dizer também, um dos mais ineficientes”, declarou.
Segundo o deputadoCarlos Jordy(PL-RJ), é uma“vergonha”votar o projeto num momento em que o país precisa de equilíbrio fiscal.“É neste momento que vemos como o Parlamento está totalmente descolado da realidade da população“, pontuou."
3,Senado aprova indicado de Lula para a Anac,"O plenário doSenado aprovou, nesta terça-feira, 19, por28 votos a 23,a indicação deAntônio Mathias Nogueira Moreirapara exercer o cargo dediretorda Agência Nacional de Aviação Civil (Anac), na vaga decorrente do término do mandato de Ricardo Bisinotto Catanant. A votação é secreta.
Antes de ser concluída, no plenário, os senadoresEduardo Girão(Novo-CE) eSergio Moro(União-PR)criticaram a escolha de Moreira para o cargo, diante do seuhistórico de escândalos, que inclui demissão por justa causa do Banco do Brasil e um acordo de não persecução penal por prejuízo à Caixa Econômica Federal.
“Com relação ao indicado, é importante que se traga dados aqui de uma mídia respeitada no Brasil. A Folha de S.Paulo publicou que o indicado que estamos votando agora foi demitido do Banco do Brasil por fraude e é acusado de dano à Caixa Econômica”, falou Girão. Ele pediu que a votação fosse suspensa, para que os senadores pudessem fazer uma análise melhor dos dados trazidos pela reportagem.
“Eu acho que por responsabilidade do Senado, sem fazer qualquer tipo de pré-julgamento, para que a gente possa ouvir, ver o processo com mais calma, antes de colocar as nossas digitais, que nós, Casa revisora da República, possamos fazer a indicação correta no caso da votação para a Anac”, pontuou Girão. O congressista ainda ressaltou que se o presidente do Senado,Davi Alcolumbre(União-AP), mantivesse a votação, iria votar contra, por“uma questão de responsabilidade”.
Moro fez coro às ponderações de Girão.“Aqui não se trata de discutir a responsabilidade dele, presunção de inocência, o que aconteceu nesses casos, mas eu entendo que qualquer pessoa que seja indicada para um cargo de diretor de agência, tem que ter uma reputação acima de qualquer suspeita. Não estamos decidindo se ele é culpado ou não de qualquer espécie de ilícito, mas nessas condições eu me sinto, particularmente, muito desconfortável aqui em poder fazer um voto favorável”, falou Moro.
O líder do PT,Rogério Carvalho(PT-SE), por sua vez,defendeu a aprovação da indicação. O petista ressaltou que o indicado foi sabatinado pela Comissão de Infraestrutura e disse que, dessa forma, naquele momento ele foi submetido ao escrutínio dos senadores.
“Portanto, a gente não pode negligenciar a votação que teve de todos os senadores e o aval da comissão de infraestrutura, que aprovou o nome dele para chegar ao plenário. Portanto, ilações, suposições que estão sendo levantadas já passaram pelo escrutínio da própria Comissão de Infraestrutura. Então, eu recomendo o voto no senhor Antônio Mathias Nogueira”.
Logo depois que Moro encerrou sua fala crítica à indicação, porém,Alcolumbre encerrou a votação.Magno Malta(PL-ES) criticou a velocidade com que o presidente a encerrou, sem permitir que outros parlamentares comentassem.“Eu votei não e o meu partido inteiro, e outros também iam justificar para seu povo que está assistindo”, disse.
“Eu não vou polemizar com vossa excelência evou passar imediatamente para a próxima indicação“, respondeu Alcolumbre.
A líder da minoria naCâmara dos Deputados,Caroline de Toni(PL-SC), e quatro vice-líderesprotocolaram noMinistério Público Federal, nesta terça-feira, umadenúnciacontra a indicação deAntônio Mathias Nogueira Moreira.
Na denúncia, os parlamentares dizem que a indicaçãofere a Lei nº 9.986/2000, que exigereputação ilibada, experiência profissional e notório conhecimento no setor de atuação da Anac.
Os parlamentares salientam que Moreira construiu sua carreira em bancos estatais e empresas públicas ligadas à logística, sem qualquer experiência no setor aeronáutico ou em regulação econômica. Por si só, dizem, isso já inviabiliza o preenchimento dos requisitos técnicos exigidos por lei.
Porém, ressaltam, a vida pregressa do indicado também compromete o requisito da reputação ilibada; eles reforçam que, conforme a reportagem do jornalFolha de S.Paulo, Moreira foi demitido por justa causa do Banco do Brasil, acusado de liberar empréstimos em benefício próprio e de familiares, e firmou acordo de não persecução penal em caso de falsificação de documentos envolvendo a Caixa Econômica Federal.
Na denúncia, os parlamentares pedem que o MPFinstaure procedimento investigatório para apurar a ilegalidade da indicação de Moreira, adote medidas judiciais cabíveis para sustar eventual nomeação irregular e comunique ao Senado Federal os vícios identificados a fim de subsidiar a votação. Além disso, que emita recomendações ao Executivo para que as futuras nomeações a cargos de direção em agências reguladoras observem estritamente os requisitos legais.
Com a aprovação da indicação pelo Senado, porém, Moreira já poderá ser nomeado pelo presidenteLula(PT)."
4,Padilha poderá viajar aos EUA para evento da ONU?,"Após ter o visto cancelado pelos Estados Unidos, o ministro da Saúde,Alexandre Padilha, afirmou nesta terça-feira, 19, que ainda poderia viajar para eventos ligados à Assembleia-Geral da ONU, marcada para setembro, em Nova York.
Segundo ele, há um“acordo de sede”que impede os países anfitriões negarem a entrada de representantes oficiais.
O ministro, no entanto, disse que avaliará sua viagem devido à agenda do Ministério da Saúde.
“Em relação tanto à ONU quanto à Opas [Organização Pan-Americana da Saúde, sediada em Washington], tem o chamado acordo de sede, em que nenhum país do mundo pode impedir o acesso de uma autoridade convidada ao evento onde ele será sediado”, disse.
Na semana passada, a família de Padilha recebeu um e-mail do Consulado Geral dos Estados Unidos dizendo que eles não estavam mais elegíveis ao visto americano.
Já o ministro estava com o visto vencido desde 2024.
Padilha era ministro de Saúde em 2012 e esteve diretamente envolvido na criação do Mais Médicos, ainda durante o governo deDilma Rousseff.
Foi ele quem chefiou a delegação brasileira que foi para Havana discutir o esquema.
Na viagem, Padilha foi acompanhado por dois funcionários do governo brasileiro, que tiveram seus vistos americanos cancelados esta semana: Mozart Salles e Alberto Kleiman.
O ministro teve um papel central nas tratativas com a ditadura comunista, ajudando a determinar quanto os cubanos receberiam da ditadura comunista.
Foi dele a ideia de colocar a Opas como intermediária na operação, de acordo com mensagens trocadas pelos diplomatas.
Como um acordo bilateral entre o governo deDilma Rousseffe a ditadura comunista exigiria aprovação do Legislativo, a Opas se ofereceu como intermediária, para dispensar essa exigência legal.
Como a sede da Opas fica em Washington, nos Estados Unidos, surgiu o medo de que os recursos fossem bloqueados em algum momento.
A sacada de Padilha, então, foi a de que os recursos fossem transferidos entre os escritórios da organização, sem passar pelos Estados Unidos.
Leia também:Padilha chama Trump de “inimigo da saúde”"
5,Deputados acionam MPF contra indicação de Lula para a Anac,"A líder da minoria naCâmara dos Deputados,Caroline de Toni(PL-SC), e quatro vice-líderes protocolaram noMinistério Público Federal, nesta terça-feira, 19, umadenúnciacontra a indicação deAntônio Mathias Nogueira Moreirapara a diretoria da Agência Nacional de Aviação Civil (Anac). A indicação, feita pelo presidenteLula(PT),foi aprovada pelaComissão de InfraestruturadoSenadonesta terça. O plenário da Casa Alta ainda precisa analisar.
Na denúncia, os parlamentares dizem que a indicaçãofere a Lei nº 9.986/2000, que exigereputação ilibada, experiência profissional e notório conhecimento no setor de atuação da Anac.
Os parlamentares salientam que Moreira construiu sua carreira em bancos estatais e empresas públicas ligadas à logística, sem qualquer experiência no setor aeronáutico ou em regulação econômica. Por si só, dizem, isso já inviabiliza o preenchimento dos requisitos técnicos exigidos por lei.
Porém, ressaltam,a vida pregressa do indicado também compromete o requisito da reputação ilibada; eles reforçam que, conforme reportagem do jornalFolha de S.Paulo, Moreirafoi demitido por justa causa do Banco do Brasil, acusado de liberar empréstimos em benefício próprio e de familiares, efirmou acordo de não persecução penal em caso de falsificação de documentos envolvendo a Caixa Econômica Federal.
De acordo com Caroline De Toni, a nomeação de alguém sem qualificação técnica e com histórico de irregularidades põe em risco a credibilidade institucional da Anac, que é responsável por regular um setor estratégico e sensível – a aviação civil. Além disso, pontua, ameaça a segurança de milhões de brasileiros.
A denúncia destaca que a comissão externa da Câmara que investigou o acidente da Voepass em Vinhedo (SP) apontou falhas graves na atuação da Anac e salientou a urgência de dirigentes preparados, técnicos e independentes.
“A própria imprensa tem divulgado que entre hoje e amanhã as sabatinas para a aprovação de 16 indicados serão praticamente um teatro: uma aprovação simbólica após meses de negociações políticas. E na Anac, por exemplo, além de Mathias, outros dois diretores indicados também não cumprem os requisitos básicos”, afirmou a líder da minoria.
“Não é aceitável que cargos técnicos tão sensíveis como os da Anac sejam usados para atender interesses políticos ou pessoais. A indicação de alguém sem qualificação e sem reputação ilibada é uma afronta à lei e à segurança da população”.
Na denúncia, os parlamentares pedem que o MPFinstaure procedimento investigatório para apurar a ilegalidade da indicação de Moreira, adote medidas judiciais cabíveis para sustar eventual nomeação irregular e comunique ao Senado Federal os vícios identificados a fim de subsidiar a votação. Além disso, que emita recomendações ao Executivo para que as futuras nomeações a cargos de direção em agências reguladoras observem estritamente os requisitos legais."
6,PL é obrigado a excluir vídeo que associa petistas a usuários de drogas,"O Tribunal de Justiça do Distrito Federal (TJDF) determinou nesta terça-feira, 19, a remoção de uma publicação feita peloPartido Liberal (PL)de um vídeo produzido por meio de inteligência artificial em que simulava entrevistas fictícias retratando apoiadores doPartido dos Trabalhadores (PT)como“ex-usuários”do partido, em uma analogia a dependentes químicos.
“Alega-se que o vídeo simularia uma entrevista fictícia, contendo afirmações como: ‘fui usuário do PT por dez anos’ e ‘o petismo acaba com a vida das pessoas’, além de associar o requerente à defesa de práticas como legalização de drogas, aumento de impostos e corrupção, incluindo a expressão ‘roubo da aposentadoria dos idosos’”,diz trecho da decisão do juiz Carlos Eduardo Batista dos Santos.
Segundo o magistrado, a publicação representa uma“clara e inequívoca a associação dos partidários do requerente a uma defesa/incitação/apologia à prática de condutas penalmente típicas”.Ele afirma ainda que o PL
“Por fim, peço vênia para externar o meu lamento como cidadão, ao constatar que um Partido Político de alta expressão nacional, aclamado por parcela signisuicativa da população brasileira e que possui em suas fileiras um ex-Presidente da República, tenha sido capaz de, em 40 segundos de vídeo, produzir algo tão grotesco e despido de qualquer propósito construtivo de cidadania”,destacou o juiz.
A decisão de 13 de agosto determinou que a Meta, controladora das redes sociais Instagram e Facebook, tem até três dias para a remoção do vídeo.
Em caso de descumprimento, foi fixada multa diária de R$ 2 mil, limitada a 20 dias."
7,Conselho de Ética sorteia novos nomes para relatoria de processo sobre Janones,"O presidente doConselho de Ética da Câmara dos Deputados, Fabio Schiochet (União-SC), sorteou nesta terça-feira, 19, três novos nomes para compor alista tríplicedestinada à escolha dorelatordoprocesso disciplinarcontraAndré Janones(Avante-MG). O novo sorteio ocorreu porque os deputados sorteados anteriormente pediram para retirar seus nomes da lista.
Agora, o relator poderá ser o Delegado Fabio Costa (PP-AL), Acácio Favacho (MDB-AP) ou Gustinho Ribeiro (Republicanos-SE).
O processo é referente àrepresentaçãono âmbito da qual Janones já teve omandato suspenso, cautelarmente, por três meses.
A representação foi formalizada pela cúpula da Câmara com basena denúncia feita pelolíder do PL, Sóstenes Cavalcante (RJ). Segundo a Mesa Diretora da Casa, conforme informado, Janones incorreu, em tese, em condutas incompatíveis com o decoro“ao provocar abertamente a bancada do PL e proferir manifestações gravemente ofensivas ao deputado Nikolas Ferreira, que ocupava a tribuna, em evidente abuso das prerrogativas parlamentares”.
As manifestações foram proferidas durante a sessão do plenário da Casa realizadaem 9 de julho de 2025. Nelas, pontua a representação, Janones,“em flagrante abuso de suas prerrogativas constitucionais, com o animus de ofender a honra do deputado Nikolas Ferreira, proferiu xingamentos ultrajantes, com expressões de baixo calão, desonrosas e depreciativas, além de provocar abertamente os deputados do PL”.
A cúpula da Câmara salienta que a destemperança e agressividade da conduta atingiram, de forma inegável,“a honra objetiva do próprio Parlamento“.
A representação defendeu que o mandato de Janones fosse suspenso cautelarmente por seis meses, mas o Conselho de Ética optou por três.
Na reunião do Conselho em foi aprovada a suspensão do mandato, o advogado do deputado, Lucas André Marques, disse que a medida era a suspensão do direito das pessoas que o elegeram e, por isso,deveria ser analisada“de uma forma muito mais meticulosa”do que estava sendo no colegiado.
“Não há nenhuma prova na denúncia, nenhum vídeo, as notas taquigráficas não indicam nenhuma fala do Janones, e no vídeo do plenário é possível perceber que não aconteceu da forma como narrado na denúncia. E eu destaco aqui que uma denúncia que está inapta para provar a culpabilidade do Janones não pode ir para frente”, pontuou.
Ainda de acordo com o advogado, enquanto Nikolas (PL-MG) falava no plenário no dia 9 de julho, Janones gravou um vídeo para seus eleitores apenas dizendo que o presidente americano, Donald Trump, havia decidido impor tarifas extras de 50% sobre os produtos brasileiros e que era um absurdo ter deputado concordando com a medida.
O advogado afirmou que Janones não interrompeu Nikolas naquela ocasião e, no vídeo, não aparecem as palavras que o relator colocou em seu parecer. Porém, disse, enquanto o congressista do Avante gravava, deputados que fazem oposição a ele o cercaram e começaram a xingá-lo. Esses parlamentares que teriam interrompido a sessão.
“Uma denúncia que não traz os fundamentos e as provas e um parecer que também não traz, parece que o julgamento é só por interesse da Casa, talvez por equilibrar os pratos, já teve uma suspensão, é necessário colocar outra do outro espectro político, não sei, mas isso é o que está parecendo, porque prova não existe”, afirmou Marques, fazendo referênciaà suspensão do mandato deGilvan da Federal(PL-ES).
Janones também falou na reunião do Conselho de Ética. Ele reforçou os argumentos do advogado e disse que apenas devolveu ofensas de parlamentares do PL que o cercaram naquele dia. Disse ainda que foi agredido com chutes por congressistas na ocasião e tentaram apalpá-lo."
8,Câmara aprova urgência de projeto para punir quem invadir Mesa Diretora,"ACâmara dos Deputados aprovou, nesta terça-feira, 19, umrequerimento de urgênciapara o projeto de resoluçãoque altera o Código de Éticae o regimento paraincluir como hipóteses de quebra de decoro aprática de agressões físicas e a obstrução do funcionamento das atividades legislativas por meios não regimentais. Foram266 votos a favor, 114 contráriose uma abstenção.
Pelo texto,deputados que cometerem esses atos estarão sujeitos à suspensão do mandato e de todas as prerrogativas parlamentares.A proposta também autoriza o presidente da Casa a adotar medidas imediatas,ad referendumda Mesa, em casos de flagrante agressão ou impedimento das sessões. Ou seja, o parlamentar pode ter seu mandado suspenso por determinação do presidente da Câmara dos Deputados, sem necessidade que o caso passe pelo Conselho de Ética.
Motta ressaltou que pautou a urgência por causa daocupação da Mesa Diretora da Câmara realizada pela oposição na semana retrasada. O ato foi feito pelos oposicionistas em protesto contra a prisão domiciliar do ex-presidenteJair Bolsonaro(PL) e a atuação do ministroAlexandre de Moraes, do STF, e para pressionar a Casa a avançar com o projeto de lei da anistia e a PEC do fim do foro privilegiado de parlamentares.
“Estamos pautando essa matéria diante do grave ocorrido que essa Casa viveu na retomada dos trabalhos. Todos que fizeram e participaram daqueles momentos sabem que momentos como aqueles não podem e não irão se repetir aqui nesta Casa sob a nossa presidência”, pontuou Motta.
“Esta é uma demonstração clara de que esta presidência não aquiescerá para movimentos como aqueles que aconteceram aqui naqueles dias. Esta é uma demonstração de que precisamos ser enérgicos com esse tipo de atitude”.
Ainda de acordo com Motta, o que há de sua presidência e da Mesa ao apresentar este projeto“é o desejo de proteger o bom funcionamento da Câmara”.“E infelizmente estamos vivendo tempos estranhos em que chegamos a ter acontecimentos como aqueles, que devem ser esquecidos da nossa história, porque além de nos envergonhar, nos obriga a sermos enérgicos para evitar que episódios como aquele voltem a acontecer”.
Segundo o deputado, o relator poderá negociar o texto. O projeto foi assinado por Motta e por integrantes da Mesa Diretora, como Altineu Côrtes (PL-RJ), Elmar Nascimento (União-BA), Carlos Veras (PT-PE) e a deputada Delegada Katarina (PSD-SE).
O PL se posicionou contra a urgência, para que o texto pudesse ser melhor debatido."
9,Câmara aprova urgência de projeto para endurecer regras de proteção de crianças,"O plenário daCâmara dos Deputados aprovou, nesta terça-feira, 19,o requerimento deurgênciapara o projeto de lei quecria regras de proteção de crianças e adolescentes em ambientes digitais. Agora, a proposta poderá ser votada diretamente no plenário, sem passar por comissões. Segundo o presidente da Casa,Hugo Motta(Republicanos-PB), essa votação será feita na quarta-feira, 20.
O texto, de autoria do senadorAlessandro Vieira(MDB-SE), já foi aprovado peloSenado. O projetoobriga todos os produtos e serviços de tecnologia a terem mecanismos para impedir, ativamente, o uso por crianças e adolescentes quando não tiverem sido desenvolvidos para esse público ou quando não forem adequados a ele.
A propostatem o apoio dos deputados governistas e de Motta, mas é rejeitado pela oposição. Os oposicionistas argumentam que o textopossibilita a censura de conteúdos lícitos de opinião.
“Um projeto que lamentavelmente está sendo utilizado, sob o pretexto de combater aquilo que precisa ser combatido, que é pedofilia, exposição ilegal de crianças nas redes sociais, para dar ao governo instrumentos para censurar a população brasileira sem uma decisão judicial”, pontuouMarcel van Hattem(Novo-RS) nesta terça.
A aprovação do requerimento de urgência ocorreu em votação simbólica. Isso foi criticado pela oposição, que defendeu que deveria ser feita votação nominal.
A previsão é que o mérito do projeto seja votado na quarta apósacomissão geralque será realizada para debater a proteção para crianças e adolescentes em ambientes digitais.
Comissões gerais sãosessões do plenário da Câmara específicas para debater um assunto importante, um projeto de lei de iniciativa popular ou para ouvir um ministro.
Entre os convidados para participar do evento de quarta, estão a ministra dos Direitos Humanos e da Cidadania, Macaé Evaristo, o presidente do Colégio de Coordenadores da Infância e Juventude dos Tribunais de Justiça do Brasil, Hugo Zaher, e a diretora-presidente do Instituto Liberta, Luciana Temer."
