id,titulo,corpo
0,MP denuncia prefeito afastado de São Bernardo do Campo por corrupção e lavagem de dinheiro,"O Ministério Público de São Paulo (MPSP) formalizou denúncia contra o prefeito afastado de São Bernardo do Campo (SP) Marcelo Lima (Podemos) e outras nove pessoas acusadas de participação em um esquema de corrupção e lavagem de dinheiro.

A denúncia foi formalizada na segunda-feira 18, e, além de Marcelo Lima, inclui o vereador Danilo Lima (também do Podemos), presidente da Câmara e primo do prefeito.

O grupo é acusado de ter causado prejuízos de 16 milhões de reais à prefeitura da cidade da região do ABC Paulista, na Grande São Paulo, com fraudes em contratos de setores como saúde e limpeza.

Segundo o MPSP, o esquema vigorou desde 2022 e “se sustenta na obtenção de contratos públicos e no desvio de recursos por meio de empresas que mantêm vínculos formais com a prefeitura e a Fundação ABC”.

Em operação na semana passada foi revelada a apreensão, em julho, de 12 milhões de reais em dinheiro na casa do homem acusado de ser o principal operador da operação criminosa. Se condenados, os acusados podem pegar até 10 anos de prisão.

 Dinheiro apreendido pela Polícia Federal com servidor da Prefeitura de São Bernardo do Campo, na Grande SP.Foto: Divulgação/PF

Em nota enviada à imprensa após o afastamento de Marcelo Lima, a prefeitura de São Bernardo do Campo, atualmente comandada pela vice Jéssica Cormick (Avante), afirmou que “a gestão municipal é a principal interessada para que tudo seja devidamente apurado”. O comunicado sustenta que “o episódio não afeta os serviços na cidade”.

Em nota oficial, Danilo Lima disse que respeita a Justiça e confia que os fatos serão esclarecidos. “Estou convicto de que este momento será superado e logo tudo será resolvido, restabelecendo a justiça de forma clara e definitiva”."
1,"Sanções não são agradáveis, mas não devem impactar julgamentos do STF, diz Moraes ao ‘Washington Post’","O ministro Alexandre de Moraes, do Supremo Tribunal Federal, afirmou que as recentes pressões vindas dos Estados Unidos não vão impactar os julgamentos sob sua relatoria. Em entrevista publicada nesta segunda-feira 18 pelo tradicional jornal The Washington Post, dos EUA, ele reconheceu certo incômodo com as sanções aplicadas pelo país contra ele, mas sustentou que nenhum processo será interrompido. “Enquanto for necessário, a investigação vai continuar”.

O jornal contou que Moraes concedeu uma entrevista de uma hora em seu gabinete. A reportagem traça um perfil do ministro, contando a história profissional antes da chegada ao STF. E destaca que ele se tornou alvo de Donald Trump nas últimas semanas, com consequências que vão do tarifaço à Lei Magnitsky, por conta da alegada “caça às bruxas” a Jair Bolsonaro, como descreve o presidente dos EUA.

Mesmo reconhecendo que não acha ‘agradável’ lidar com as sanções, que incluem restrições de viagens, financeiras e uma crescente lista de inimigos, o ministro descarta recuar.

“Não há a menor possibilidade de recuar um milímetro sequer. Faremos o que é certo: recebemos a acusação, analisaremos as provas, e quem deve ser condenado será condenado, e quem deve ser absolvido será absolvido“, disse ao jornal norte-americano.

No perfil, o Washington Post descreve Moraes como “uma figura única no cenário global: um xerife da democracia”. Ele foi chamado, ainda, de ambicioso. Para o texto, o jornal conta ter entrevistado 12 amigos e colegas do ministro – muitos sob reserva.

A maioria dos entrevistados, segundo o jornal, defendeu a atuação do ministro em processos que envolvem Bolsonaro e a defesa da democracia no País como um todo. Houve, porém, quem questionasse Moraes, como o ex-ministro do Supremo Marco Aurélio Mello, que disse que há uma ‘deterioração’ da Corte pela atuação do magistrado.

Ainda ao jornal, Moraes disse acreditar que as rusgas entre EUA e Brasil são temporárias e que teriam sido causadas por uma campanha de desinformação liderada pelo deputado Eduardo Bolsonaro (PL). O parlamentar, contatado pelo jornal, se recusou a comentar.

“Essas narrativas falsas acabaram envenenando o relacionamento [entre Brasil e EUA]. Narrativas falsas apoiadas pela desinformação disseminada por essas pessoas nas redes sociais. O que precisamos fazer, e o que o Brasil está fazendo: esclarecer as coisas”, destacou o ministro."
2,"Após tarifaço e denúncias sobre ‘adultização’, Lula volta a defender regulamentação das big techs","O presidente Lula (PT) afirmou nesta segunda-feira 18 que a regulamentação das plataformas digitais é um desafio central para os Estados, ao alertar que as sociedades permanecerão “sob constante ameaça” enquanto as big techs não forem responsabilizadas. A declaração foi feita durante a assinatura de termos bilaterais com o presidente do Equador, Daniel Noboa, no Palácio do Planalto, em Brasília.

“Não é possível que as redes sociais funcionem como terras sem lei, em que se pode atentar impunemente contra a democracia, incitar o ódio e a violência. Erradicar a exploração sexual de crianças e adolescentes é uma imposição moral e uma obrigação do poder público”, disse Lula, reforçando uma pauta que tem enfrentado resistência no Congresso, mas que ganhou força após casos recentes envolvendo abusos online.

O discurso também ocorre após Washington impor um tarifaço de 50% sobre produtos brasileiros e intensificar a pressão diplomática, incluindo a revogação de vistos de idealizadores do programa Mais Médicos. A pressão comercial, entre outros itens, foi justificada por decisões da Justiça brasileira contra redes sociais norte-americanas. 
Lula também aproveitou o encontro para criticar indiretamente a estratégia do presidente americano, Donald Trump, que classificou cartéis latino-americanos como organizações terroristas globais e ordenou que o Pentágono prepare ações militares contra eles.

“Não é preciso classificar as organizações criminosas como terroristas e nem violar a soberania alheia para combater o crime organizado”, afirmou o petista, defendendo soluções multilaterais e cooperação regional em lugar de medidas unilaterais e de caráter militar."
3,A outra ação no STF que tenta proteger Moraes da Lei Magnitsky,"
Após o ministro do Supremo Tribunal Federal Flávio Dino afastar a validade imediata no Brasil de determinações judiciais, leis, decretos e ordens executivas de outros países, o ministro Cristiano Zanin pode avançar em uma espécie de reação da Corte à aplicação da Lei Magnitsky contra o colega Alexandre de Moraes.

Zanin é o relator de uma ação do Partido dos Trabalhadores que busca impedir bancos brasileiros de aplicarem os efeitos da sanção imposta pelo presidente dos Estados Unidos, Donald Trump, a Moraes.

Em 1º de agosto, Zanin encaminhou os autos para manifestação da Procuradoria-Geral da República. Após a resposta do órgão, ele poderá expedir uma decisão individual.

A ação ao STF partiu do líder petista na Câmara, Lindbergh Farias (RJ). Ele pediu que a Corte proíba qualquer instituição financeira que opera no Brasil de executar, replicar, aderir ou aplicar, de forma direta ou indireta, os efeitos das sanções impostas a Moraes.
O objetivo, diz o deputado, é “preservar a autoridade e a independência da jurisdição constitucional brasileira e a soberania do Estado brasileiro diante de interferências internacionais inaceitáveis”.
Segundo o deputado, o maior receio é que bancos encerrem contas, bloqueiem ativos ou restrinjam serviços bancários de Moraes.

Em 11 de agosto, o partido Novo pediu ao STF que arquive a ação de Lindebergh, sob o argumento de que ele não pode tentar proteger interesses de terceiros sem autorização. Também não pode, segundo a legenda, obrigar entes privados a manter vínculos contratuais entre si por meio de uma decisão judicial.
As sanções do governo Trump se baseiam na Lei Global Magnitsky Act, que pune estrangeiros ligados a violações de direitos humanos ou atos de corrupção em todo o mundo.
Ao anunciar a punição, o secretário do Tesouro norte-americano, Scott Bessent, alegou que Moraes “é responsável por uma campanha opressiva de censura, detenções arbitrárias que violam os direitos humanos e processos judicializados com motivação política — inclusive contra o ex-presidente Jair Bolsonaro”.
Uma consequência prática seria o bloqueio de todos os bens ou investimentos de Moraes nos Estados Unidos — o que o ministro, segundo informações preliminares, não tem. Em 18 de julho, o Departamento de Estado já havia revogado os vistos do magistrado e de seus familiares. Um efeito indireto, contudo, seria o cancelamento de cartões de crédito de bandeira norte-americana.

"
4,Senado aprova Wadih Damous para a presidência da ANS,"O Senado aprovou, nesta terça-feira 19, a indicação de Wadih Damous para a presidência da Agência Nacional de Saúde Suplementar, a ANS. Foram 38 votos favoráveis e 20 contrários. O relator da indicação foi Sérgio Petecão (PSD-AC).

Vinculada ao Ministério da Saúde, a ANS é a agência reguladora responsável por normatizar e fiscalizar os planos de saúde. Tem quatro diretores e um diretor-presidente, com mandatos de cinco anos não coincidentes.

Ex-deputado federal pelo PT do Rio de Janeiro, Wadih Damous é o atual titular da Secretaria Nacional do Consumidor. Seu antecessor na ANS foi Paulo Roberto Vanderlei Rebello Filho, cujo mandato terminou em dezembro de 2024.

Wadih Damous foi sabatinado pela Comissão de Assuntos Sociais na última quarta-feira 13. Um dos assuntos debatidos foi a integração de exames e dados entre SUS e planos privados, como ocorre no SUS Digital. Damous disse que a medida permitiria que exames realizados em um sistema fossem válidos no outro, evitando duplicidade e desperdício.

“Essa integração é necessária e historicamente exigida no setor”, afirmou. “Reforço que assumo o compromisso de estreitar laços com o Ministério da Saúde, visando beneficiar a população brasileira. O SUS é um patrimônio do povo e não deve haver dissociação absoluta entre setor público e privado. É necessária uma maior integração em prol de quem mais precisa.”

Advogado e mestre em Direito Constitucional, Damous foi presidente da seção do Rio de Janeiro da Ordem dos Advogados do Brasil (2007-2012), presidente da Comissão da Verdade do Rio de Janeiro (2013-2015) e presidente da Comissão Nacional de Direitos Humanos do Conselho Federal da OAB (2014-2015). É autor do livro Medidas Provisórias no Brasil: origem, evolução e novo regime, em coautoria com o ministro do Supremo Tribunal Federal Flávio Dino.

(Com informações da Agência Senado)"
5,"As intenções de voto na disputa pelo governo de Tocantins, segundo pesquisa","A senadora Professora Dorinha (União) é a favorita para ocupar o comando do governo de Tocantins em 2026. A conclusão é do novo levantamento do instituto Paraná Pesquisas, divulgado nesta segunda-feira 18, com eleitores do estado.

Segundo a pesquisa, a parlamentar tem 36,7% das intenções de voto, uma vantagem de 20 pontos percentuais para a segunda colocada, a atual vice-governadora Laurez Moreira (PDT), que soma 16,6%.

Os demais candidatos citados na pesquisa são Cinthia Ribeiro (PSDB), Amelio Cayres (Republicanos) e Ataídes de Oliveira (Novo). Veja os resultados:


O Paraná Pesquisa ainda testou um cenário com uma lista mais enxuta de candidaturas. Professora Dorinha, novamente, aparece na liderança, seguida por Laurez Moreira. Confira:


A senadora do União Brasil também é a mais citada pelos eleitores de Tocantins em eventuais disputas de segundo turno. Ela venceria Amelio Cayres (55,3% a 21,3%) e Laurez Moreira (53,4% a 26,6%), segundo o levantamento.

A pesquisa divulgada nesta segunda ouviu 1.510 eleitores do estado entre os dias 9 e 13 de agosto. A margem de erro é de 2,6 pontos percentuais."
6,"TSE manda partido devolver R$ 1,5 milhão aos cofres públicos","
O Tribunal Superior Eleitoral confirmou na terça-feira 19 a decisão que manda o partido Cidadania devolver 1,55 milhão de reais ao Tesouro Nacional, por uso irregular de verbas do fundo partidário.
Os ministros analisaram um recurso sobre a prestação de contas referente a 2019. A legenda também terá de aplicar 382,3 mil reais no apoio a candidaturas femininas em 2026, por descumprir o piso de 5%.
Kassio Nunes Marques, que havia pedido vista, acompanhou a relatora, Isabel Gallotti, e acolheu parcialmente o recurso do Cidadania para reconhecer que a sigla apresentou documentos sobre passagens aéreas e hospedagens — ainda que com atraso.
Eles, porém, confirmaram irregularidades nessa área que chegam a 855,2 mil reais, por considerarem que os documentos foram produzidos unilateralmente pelo Cidadania e são insuficientes para efeitos de comprovação. 


"
7,"Os favoritos para a disputa pelo governo de Rondônia em 2026, segundo nova pesquisa","
Um levantamento do Paraná Pesquisas divulgado nesta segunda-feira 18 testou quatro cenários para a disputa pelo governo de Rondônia em 2026. Em dois deles, há empate técnico na liderança.
Confira os resultados da primeira projeção:
No segundo cenário, com o bolsonarista Marcos Rogério (PL) na sondagem, há empate técnico:


No terceiro cenário, sem Máximo, Rogério lidera:



Por fim, no quarto cenário, com Ivo Cassol (PP) na disputa, há empate técnico entre quatro postulantes na liderança:

O Paraná Pesquisas entrevistou 1.545 eleitores em 36 municípios de Rondônia entre 9 e 13 de agosto. A margem de erro é de 2,5 pontos percentuais, com um nível de confiança de 95%.









"
8,Avança na Câmara o projeto para derrubar normas do governo sobre o uso de câmeras em fardas de policiais,"Avançou na Câmara dos Deputados o projeto de decreto legislativo (PDL) que suspende duas normas do Ministério da Justiça sobre o uso de câmeras corporais por policiais. A ofensiva liderada por Alberto Fraga (PL-DF) recebeu, na semana passada, o aval dos membros da Comissão de Segurança Pública e Combate ao Crime Organizado. O texto foi relatado pelo deputado Sargento Portugal (Podemos-RJ).

Para os parlamentares, o governo federal teria ultrapassado as competências ao regulamentar o tema. A conclusão é de que as regras deveriam ser estabelecidas por lei específica e não no âmbito da criação do Sistema Único de Segurança Pública (Susp), como fez o Executivo.

As normas na mira dos bolsonaristas (portarias 572/24 e 648/24 do Ministério da Justiça e Segurança Pública) estabelecem itens como os padrões mínimos de qualidade das câmeras usadas nas fardas, a estrutura para armazenamento das imagens gravadas, prevê o treinamento das corporações e, principalmente, lista as circunstâncias em que os equipamentos devem ser ativados.

Em manifestação sobre o tema, o relator da proposta disse não ser contrário ao uso dos equipamentos, mas afirmou que ‘os pilares do nosso Estado de Direito não podem ser usurpados em nome de um bem maior’.

(Com informações de Agência Câmara)"
9,"A avaliação dos brasileiros sobre a resposta de Lula ao tarifaço de Trump, segundo a nova pesquisa Quaest","Na mesma pesquisa em que mediu a aprovação e avaliação do governo Lula perante os eleitores, a consultoria Quaest buscou a opinião da população brasileira sobre as reações do governo federal e do clã Bolsonaro diante do tarifaço de Donald Trump contra produtos brasileiros. O cenário divulgado nesta quarta-feira 20 mostra apoio popular à postura do atual presidente.

Segundo o levantamento, 48% dos eleitores afirmam que Lula e o PT são os que estão agindo de melhor maneira no embate com os norte-americanos – quatro pontos percentuais acima do registro anterior, de julho. Para 28%, são os bolsonaristas que estão agindo melhor no episódio. Convém lembrar que o deputado federal Eduardo Bolsonaro (PL-SP) insiste em pressionar o governo dos EUA por mais sanções contra o País.


A resposta de Lula ao tarifaço é bem avaliada por 44% dos entrevistados, contra 46% que dizem que ele está agindo mal – o que indica empate técnico, diante da margem de erro de dois pontos percentuais. Por outro lado, as posturas de Jair e Eduardo Bolsonaro têm um índice de desaprovação significativamente maior, assim como os demais nomes da direita monitorados. Confira:

A maioria dos entrevistados (67%) diz ter preferência por uma saída negociada. O índice é superior ao registrado no levantamento anterior. Em contrapartida, há uma queda no percentual de pessoas que defendem uma resposta “olho por olho”, com taxação a produtos dos EUA.


A pesquisa também mostra uma clara a rejeição da população brasileira às medidas adotadas pelo governo dos EUA: 71% dos entrevistados disseram que Trump está errado ao impor as tarifas ao Brasil em retaliação a uma suposta “perseguição” a Jair Bolsonaro. Só 21% dizem que ele agiu corretamente.


Foram ouvidas 2.004 pessoas, entre os dias 13 e 17 de agosto. A margem de erro é de dois pontos percentuais, para mais ou para menos. O levantamento foi feito em parceria com a Genial Investimentos."
