id,titulo,corpo
0,"BRICS é a nova expressão do multilateralismo, afirma Celso Amorim","247 –Emartigopublicado naFolha de S.Paulonesta quinta-feira (31), o diplomata Celso Amorim, assessor especial da Presidência da República para Assuntos Internacionais, argumenta que o Brics tornou-se o novo nome do multilateralismo no século XXI. Aos 83 anos, sendo 62 deles dedicados à diplomacia, Amorim traça uma análise histórica das transformações da ordem internacional e defende que o bloco é hoje a principal plataforma para a construção de um sistema global mais justo e representativo.
“Hoje, sua missão é canalizar esse impulso para construir um mundo que seja justo e sustentável, onde o multilateralismo prevaleça. Não precisamos de nada menos que isso”, escreve Amorim ao final do artigo, reforçando o caráter reformista do Brics diante de uma ordem global cada vez mais instável e assimétrica.
Amorim relembra que ingressou na carreira diplomática durante a Crise dos Mísseis de Cuba, em 1962, e acompanhou guerras como a do Vietnã e a dos Seis Dias. Apesar da tensão, havia, segundo ele, a confiança de que a racionalidade entre potências prevaleceria. Hoje, porém, o cenário é mais sombrio: “As guerras modernas já não são movidas apenas por ideologia ou rivalidade econômica. Elas são inflamadas por fervor religioso e disputas territoriais, ecoando as tensões que precederam a Primeira Guerra Mundial”.
Para o ex-chanceler, a desagregação da ordem multilateral ficou evidente com a criação do G7, em 1975. “Embora a Carta da ONU tenha estabelecido o Conselho Econômico e Social para tratar de questões econômicas globais, as maiores economias do mundo nunca lhe deram a devida atenção”, afirma. O G7 e, depois, o G8 funcionaram como clubes exclusivos que tomavam decisões de forma oligárquica, mesmo quando incluíam países em desenvolvimento de maneira periférica.
A partir da crise financeira de 2008, novos paradigmas foram colocados em xeque. O G20 surgiu como um reconhecimento de que os problemas globais exigiam mais vozes. Nesse mesmo contexto, o Brics — que inicialmente era apenas um acrônimo criado por um economista do mercado financeiro — ganhou densidade política.
“O Brics foi gradualmente se transformando em um fórum político”, afirma Amorim. Ele recorda que, após um encontro com o Ibas (Índia, Brasil e África do Sul), em Brasília, em 2011, a África do Sul passou a integrar o bloco formalmente. A partir daí, o Brics consolidou-se com uma agenda propositiva.
A expansão do bloco em 2023, com a adesão de novos membros, deu ao grupo um equilíbrio que Amorim considera raro: “Hoje, o Brics alcança um equilíbrio justo entre representatividade e eficiência”.
Diferentemente de outras coalizões de países em desenvolvimento, o Brics tem uma atuação marcada por resultados concretos. Um dos exemplos mais citados por Amorim é o Novo Banco de Desenvolvimento (NBD), criado em 2014, que oferece financiamento público com foco em infraestrutura e sustentabilidade.
Na 17ª Cúpula do Brics, realizada este ano no Rio de Janeiro, o bloco avançou em temas como comércio em moedas locais, investimentos, inteligência artificial, meio ambiente e saúde. Para Amorim, essa é a demonstração de que o Brics não pretende apenas contestar a ordem vigente, mas construir alternativas viáveis.
“O Brics não foi concebido como um rival do G7. No entanto, cada vez mais oferece algo que a antiga ordem não consegue: inclusão em vez de exclusão, reforma em vez de estagnação”, conclui o diplomata.
O artigo reforça a visão do governo brasileiro de que o Brics é um instrumento estratégico para reposicionar o país no cenário global e construir uma governança internacional mais democrática — tema central da política externa do presidente Lula em seu terceiro mandato."
1,Lula: Brasil é soberano e tentativa de interferência dos EUA no Judiciário é inaceitável,"Por Pedro Rafael Vilela - Repórter da Agência Brasil –Opresidente Luiz Inácio Lula da Silva emitiu uma nota oficial,na noite desta quarta-feira (30),em que defende a democracia e a soberania do país frente as iniciativas dos Estados Unidos (EUA) contra a economia e a Justiça brasileiras.
Esta foi a primeira reação pública de Lula após o governo dos EUA anunciar uma sanção punitiva contra o ministro do Supremo Tribunal Federal (STF) Alexandre de Moraes e, horas mais tarde, oficializar, por meio de uma ordem executiva do presidente Donald Trump, a taxação de 50% sobre produtos vendidos pelo Brasil, que contém, entretanto, uma lista de quase 700 exceções.
Na nota, opresidente brasileiro manifesta solidariedade do governo federal a Moraes e diz que o magistrado é ""alvo de sanções motivadas pela ação de políticos brasileiros que traem nossa pátria e nosso povo em defesa dos próprios interesses"".
O presidente lembra que a a lei no Brasil abrange cidadãos e todas as empresas e que atividades que afetem a vida da população e da democracia estão sujeitas a normas, incluindo plataformas digitais.
""A sociedade brasileira rejeita conteúdos de ódio, racismo, pornografia infantil, golpes, fraudes, discursos contra os direitos humanos e a democracia"".
A nota assinada pelo presidente aindaconsidera injustificável o uso de argumentos políticos para validar as medidas comerciais anunciadas pelo governo norte-americanocontra as exportações brasileiras.
Por fim, o governo aponta disposição a negociar apenas aspectos comerciais da relação com os Estados Unidos, sem abrir mão dos instrumentos de defesa do país previstos em sua legislação, como é o caso da Lei de Reciprocidade Comercial, além de um plano de contingência para minorar os impactos econômicos das tarifas.
""Nossa economia está cada vez mais integrada aos principais mercados e parceiros internacionais. Já iniciamos a avaliação dos impactos das medidas e a elaboração das ações para apoiar e proteger os trabalhadores, as empresas e as famílias brasileiras"", conclui a nota oficial de Lula.
O Brasil é um país soberano e democrático
O Brasil é um país soberano e democrático, que respeita os direitos humanos e a independência entre os Poderes. Um país que defende o multilateralismo e a convivência harmoniosa entre as Nações, o que tem garantido a força da nossa economia e a autonomia da nossa política externa.
É inaceitável a interferência do governo norte-americano na Justiça brasileira.
O governo brasileiro se solidariza com o ministro Alexandre de Moraes, do Supremo Tribunal Federal, alvo de sanções motivadas pela ação de políticos brasileiros que traem nossa pátria e nosso povo em defesa dos próprios interesses.
Um dos fundamentos da democracia e do respeito aos direitos humanos no Brasil é a independência do Poder Judiciário e qualquer tentativa de enfraquecê-lo constitui ameaça ao próprio regime democrático. Justiça não se negocia.
No Brasil, a lei é para todos os cidadãos e todas as empresas. Qualquer atividade que afete a vida da população e da democracia brasileira está sujeita a normas. Não é diferente para as plataformas digitais.
A sociedade brasileira rejeita conteúdos de ódio, racismo, pornografia infantil, golpes, fraudes, discursos contra os direitos humanos e a democracia.
O governo brasileiro considera injustificável o uso de argumentos políticos para validar as medidas comerciais anunciadas pelo governo norte-americano contra as exportações brasileiras. O Brasil tem acumulado nas últimas décadas um significativo déficit comercial em bens e serviços com os Estados Unidos. A motivação política das medidas contra o Brasil atenta contra a soberania nacional e a própria relação histórica entre os dois países.
O Brasil segue disposto a negociar aspectos comerciais da relação com os Estados Unidos, mas não abrirá mão dos instrumentos de defesa do país previstos em sua legislação. Nossa economia está cada vez mais integrada aos principais mercados e parceiros internacionais.Já iniciamos a avaliação dos impactos das medidas e a elaboração das ações para apoiar e proteger os trabalhadores, as empresas e as famílias brasileiras.
LUIZ INÁCIO LULA DA SILVA
Presidente da República"
2,"""STF não se desviará do seu papel"", diz a corte, após a agressão de Trump contra o Brasil","Supremo Tribunal Federal-Em razão das sanções aplicadas ao Ministro Alexandre de Moraes, um dos seus integrantes, o Supremo Tribunal Federal vem se pronunciar na forma abaixo:
1 . O julgamento de crimes que implicam atentado grave à democracia brasileira é de exclusiva competência da Justiça do país, no exercício independente do seu papel constitucional.
2. Encontra-se em curso, perante o Tribunal, ação penal em que o Procurador-Geral da República imputou a um conjunto de pessoas, inclusive a um ex-Presidente da República, uma série de crimes, entre eles, o de golpe de Estado.
3. No âmbito da investigação, foram encontrados indícios graves da prática dos referidos crimes, inclusive de um plano que previa o assassinato de autoridades públicas.
4. Todas as decisões tomadas pelo relator do processo foram confirmadas pelo Colegiado competente.
5. O Supremo Tribunal Federal não se desviará do seu papel de cumprir a Constituição e as leis do país, que asseguram a todos os envolvidos o devido processo legal e um julgamento justo.
6. O Tribunal manifesta solidariedade ao Ministro Alexandre de Moraes.
Brasília, 30 de julho de 2025."
3,STF fará defesa de Moraes em sessão de retorno do recesso,"André Richter, repórter da Agência Brasil -Os ministros do Supremo Tribunal Federal (STF) devem fazer uma defesa conjunta de Alexandre de Moraes na sessão da próxima sexta-feira (1°), quando a Corte abrirá os trabalhos do segundo semestre após o recesso de julho.
Até o momento, somente o ministro Flávio Dino se manifestou oficialmente sobre a decisão do governo dos Estados Unidos de aplicar sanções financeiras contra Moraes, com base na Lei Magnitisky.
O presidente do STF, Luís Roberto Barroso, e os demais ministros da Corte ainda não se manifestaram sobre a nova sanção contra o ministro, que é relator das ações penais sobre a trama golpista e de outras investigações envolvendo o ex-presidente Jair Bolsonaro, aliado do presidente norte-americano, Donald Trump.
A aplicação da Lei Magnitsky é a segunda sanção aplicada contra Alexandre de Moares. No dia 18 de julho, o secretário de Estado dos Estados Unidos, Marco Rubio, anunciou a revogação dos vistos do ministro, seus familiares e “aliados na Corte”.
O anúncio foi feito após Moares abrir um inquérito para investigar o deputado federal Eduardo Bolsonaro (PL-SP), filho do ex-presidente, pela atuação junto ao governo dos Estados Unidos para promover medidas de retaliação contra o governo brasileiro e ministros do Supremo e tentar barrar o andamento da ação penal sobre a trama golpista.
Em março deste ano, Eduardo pediu licença do mandato parlamentar e foi morar nos Estados Unidos, sob a alegação de perseguição política. A licença terminou no último dia 20."
4,Ministros do União Brasil dizem a Lula que querem ficar no governo após ataques do presidente do partido,"247 -Os ministros Celso Sabino (Turismo), Frederico Siqueira (Comunicações) e Waldez Góes (Integração e Desenvolvimento Regional), indicados pelo União Brasil, garantiram ao presidente Luiz Inácio Lula da Silva (PT) que desejam permanecer no governo e não concordam com as críticas feitas por dirigentes do partido à atual gestão federal. As informações são dog1.
Convocados por Lula, os ministros foram questionados diretamente sobre sua permanência no Executivo, em meio ao crescente desgaste na relação entre o governo e a cúpula do União Brasil — especialmente após declarações públicas do presidente da sigla, Antonio Rueda. Em evento recente com representantes do mercado financeiro, Rueda acusou o governo de não fazer entregas, de não ter compromisso com as contas públicas e ainda criticou a postura de Lula diante do tarifaço imposto por Donald Trump sobre produtos brasileiros.
As falas de Rueda causaram desconforto no Planalto e foram o estopim para a convocação da reunião. Durante o encontro, os ministros ressaltaram que o União Brasil é um partido de posições diversas e afirmaram que não endossam a postura de confronto adotada pela direção nacional. Apesar de o partido já ter um pré-candidato à Presidência — o governador de Goiás, Ronaldo Caiado — os ministros sinalizaram disposição individual de apoiar Lula em 2026.
Embora ocupe três ministérios, o União Brasil tem adotado uma postura legislativa hostil ao governo, votando com frequência contra pautas de interesse do Palácio do Planalto. Para tentar reorganizar a base, Lula pretende realizar um novo encontro com líderes do partido em agosto. A ideia é reunir figuras estratégicas como o presidente do Senado, Davi Alcolumbre (AP), os líderes da legenda na Câmara, Pedro Lucas Fernandes (MA), e no Senado, Efraim Filho (PB), além do próprio Rueda.
Mais cedo no mesmo dia, Lula também se reuniu com a ala governista do MDB em um almoço no Palácio da Alvorada. Estiveram presentes os ministros Renan Filho (Transportes), Simone Tebet (Planejamento) e Jader Filho (Cidades), além dos líderes do partido na Câmara, Isnaldo Bulhões (AL), e no Senado, Eduardo Braga (AM). O senador Renan Calheiros (AL) também participou.
De tom mais informal, a conversa girou em torno da conjuntura política, das prioridades no Legislativo e da disputa presidencial de 2026. O presidente manifestou o desejo de ter o MDB em sua chapa para a reeleição. No entanto, segundo interlocutores presentes, o apoio formal da legenda ainda está distante. “Tem muito mais gente para estar nessa conversa. Ali era um grupo já próximo do presidente”, disse, em condição de anonimato, um ministro do partido.
Internamente, líderes do MDB reconhecem que o apoio à candidatura de Lula dependerá de concessões políticas. Entre as exigências em discussão está a indicação de um nome do partido para a vice-presidência na chapa, sendo Simone Tebet uma das opções cogitadas. Lula também expressou preocupação com a formação de candidaturas ao Senado, diante da crescente força de lideranças ligadas ao bolsonarismo."
5,Lula desmascara Eduardo Bolsonaro: ‘traidor do Brasil demonstra total sem vergonhice’,"247- O presidente Luiz Inácio Lula da Silva desmascarou nesta terça-feira (29) o deputado federal licenciado Eduardo Bolsonaro (PL-SP), que faz articulações junto ao governo Donald Trump, com o objetivo de estimular sanções contra o Brasil por causa do inquérito da trama golpista envolvendo Jair Bolsonaro (PL), réu na investigação e alvo de medidas cautelares.
“Utilizavam a camisa da seleção e a bandeira... agora estão agarrados nas botas do presidente dos EUA pedindo intervenção no Brasil, numa total falta de patriotismo e sem vergonhice, traição”, disse Lula durante a Cerimônia de Inauguração da Usina Termelétrica GNA II, no Porto do Açu. Centro de Visitantes do Porto do Açu – São João da Barra (RJ).
Em 9 de julho, o presidente Donald Trump anunciou tarifas de 50% sobre as exportações brasileiras. O Escritório do Representante Comercial dos Estados Unidos (USTR, na sigla em inglês) atendeu a um pedido feito pelo chefe da Casa Branca e iniciou uma investigação comercial contra o Brasil.
O motivo para a guerra comercial dos EUA é a investigação da trama golpista conduzida pelo Supremo Tribunal Federal e que tem 31 réus, incluindo Jair Bolsonaro, aliado de Trump, que representa a extrema direita norte-americana.
O presidente Lula afirmou que o Brasil adotará a Lei de Reciprocidade Econômica como resposta ao aumento de 50% nas tarifas anunciado pelos Estados Unidos. Essa legislação estabelece mecanismos para suspender benefícios comerciais, investimentos e compromissos relacionados a propriedade intelectual quando um país ou bloco econômico tomar medidas unilaterais que prejudiquem a competitividade do Brasil no cenário internacional.
Assim como Silvério dos Reis, que traiu Tiradentes, Eduardo Bolsonaro age com mau-caratismo enquanto negocia nossa soberania em troca de interesses próprios. Mais uma vez, o presidente Lula não perdeu a oportunidade de mandar um recado aos bolsonaristas: não aceitaremos traidores…pic.twitter.com/S0BW4EX2sU
Impacto do tarifaço na economia brasileira
Um estudo da Gerência de Economia e Finanças Empresariais da FIEMG estima que a imposição de tarifas de 50% sobre produtos brasileiros, caso efetivada por Donald Trump, poderá provocar um impacto econômico expressivo ao Brasil, resultando em prejuízos de até R$ 175 bilhões no longo prazo. De acordo com a análise, o Produto Interno Bruto (PIB) pode sofrer retração de 1,49%, e mais de 1,3 milhão de postos de trabalho podem ser eliminados.
Se o Brasil optasse por adotar medidas tarifárias equivalentes contra mercadorias vindas dos Estados Unidos, os danos seriam ainda mais severos: a economia nacional poderia registrar uma queda de 2,21% no PIB — ou R$ 259 bilhões —, com uma perda estimada de quase 2 milhões de empregos. Haveria ainda uma redução de R$ 36,18 bilhões na massa salarial e queda de R$ 7,21 bilhões na arrecadação de tributos.
Atualmente, os Estados Unidos ocupam o segundo lugar entre os principais destinos das exportações brasileiras, atrás apenas da China. Em 2024, o Brasil exportou cerca de US$ 40,4 bilhões em bens para o mercado norte-americano, volume que corresponde a 1,8% do PIB nacional. Os principais produtos enviados incluem:
Em contrapartida, o Brasil figura entre os dez maiores mercados para os produtos e serviços norte-americanos, absorvendo aproximadamente US$ 60 bilhões em exportações dos EUA por ano.
Essa relação bilateral sustenta diretamente:
Trama golpista
O STF determinou algumas medidas cautelares contra Bolsonaro, por risco de fuga para o exterior e por obstrução judicial. O político foi submetido a uma série de medidas cautelares determinadas pela Justiça, incluindo o uso de tornozeleira eletrônica e restrições de circulação. Ele está obrigado a permanecer em casa durante a noite, das 19h às 6h, de segunda a sexta-feira, além de ficar em regime de recolhimento total aos fins de semana e feriados.
Entre as proibições impostas, estão:
As medidas estão relacionadas à investigação sobre uma suposta tentativa de golpe de Estado. Bolsonaro responde por cinco crimes, entre eles:
Embora ainda não tenha sido condenado – seu julgamento está pendente –, as acusações são graves e, se comprovadas, podem resultar em uma pena superior a 40 anos de prisão. Analistas jurídicos avaliam que as chances de absolvição são mínimas, dado o volume de evidências apresentadas.
O caso marca um dos episódios mais polêmicos da política recente, colocando em xeque o legado do político de extrema direita."
6,Lula se declara o 'homem mais feliz do mundo' após retirar o Brasil do Mapa da Fome,"247 –Na manhã desta segunda-feira, 28 de julho, o Brasil recebeu uma notícia de grande impacto: pela segunda vez, o país saiu doMapa da Fome da Organização das Nações Unidas para a Alimentação e a Agricultura (FAO/ONU). A conquista, divulgada pela fonte original da notícia, levou o presidente Luiz Inácio Lula da Silva a telefonar para o presidente da FAO, Qu Dongyu, para celebrar o feito.
Durante a conversa, Lula expressou sua felicidade e reafirmou seu compromisso com a causa. ""Para que a gente acabe com a fome e com a pobreza, é preciso colocar o povo pobre no orçamento do país, no orçamento de estados e municípios"", declarou o presidente. Ele acrescentou que ""o dia em que os governantes fizerem isso, a gente vai resolver esse problema crônico da humanidade.""
O presidente Lula se declarou o“homem mais feliz do mundo”, mas também assumiu o papel de “soldado do Brasil, um soldado da FAO, um soldado mundial” em prol do fim da fome e da pobreza, com ou sem mandato presidencial. Para o presidente da FAO, o papel de Lula é claro: ""O senhor pode ser um soldado, mas é, na verdade, um comandante-chefe.""
O executivo da ONU garantiu que, em 2026, a FAO visitará o Brasil para conhecer as experiências do país no combate à fome durante oFórum CELAC, que reúne as nações da América Latina e do Caribe. ""Você mobiliza seus colegas e o seu povo para lutar contra a fome"", disse Dongyu.
Além de reafirmar seu compromisso com a luta contra a desigualdade em todas as suas formas, Lula reforçou sua indignação com o alto gasto armamentista global, que alcança a cifra de US$ 2,7 trilhões, em contraste com o baixo investimento em alimentação e preservação ambiental.
O próximo objetivo do Governo Federal é claro: aumentar os esforços para que nenhuma pessoa passe fome. ""É uma vergonha para os governantes do mundo, já que o mundo produz alimento suficiente, mas as pessoas não têm dinheiro para acessar o alimento"", afirmou Lula. Ele relembrou um de seus compromissos de campanha: ""Eu assumi o governo em 2023 e, no discurso da comemoração da minha vitória, eu disse que 'se ao terminar meu mandato, cada brasileiro e brasileira estivesse tomando café, almoçando e jantando todo dia, eu já teria cumprido minha missão de vida'.""
A saída do Brasil do Mapa da Fome é resultado de decisões políticas do governo brasileiro que priorizaram aredução da pobreza, o estímulo à geração de emprego e renda, o apoio à agricultura familiar, o fortalecimento da alimentação escolar e o acesso à alimentação saudável.
Esta é a segunda vez que o governo do presidente Luiz Inácio Lula da Silva retira o país dessa condição: a primeira foi em 2014, após 11 anos de políticas consistentes. No entanto, a partir de 2018, o desmonte de programas sociais fez o Brasil retroceder e retornar ao Mapa da Fome.
Em dois anos de governo do presidente Lula, o Brasil teve reduções históricas da insegurança alimentar grave e da pobreza. Os números nacionais da fome, captados por meio da aplicação daEscala Brasileira de Insegurança Alimentar (EBIA)nas pesquisas do IBGE, mostraram que, até o final de 2023, o país retirou cerca de 24 milhões de pessoas da insegurança alimentar grave.
Proposta pelo Governo do Brasil durante a presidência do G20, em 2024, aAliança Global Contra a Fome e a Pobrezatem o objetivo de unir esforços de países, organizações internacionais e instituições financeiras para alcançar os Objetivos de Desenvolvimento Sustentável (ODS), com foco na erradicação da fome e da pobreza até 2030. Atualmente, a Aliança conta com 101 países-membros, além de diversas fundações, instituições e organizações.
A iniciativa busca fortalecer a cooperação internacional e atrair recursos e conhecimentos para implementação de políticas públicas e tecnologias sociais eficazes na redução da fome e pobreza por todo o mundo."
7,Nikolas Ferreira e Bruno Engler podem ficar inelegíveis por disseminação de notícias falsas,"247 -O Tribunal Regional Eleitoral de Minas Gerais (TRE-MG) aceitou, nesta sexta-feira (25), a denúncia apresentada pelo Ministério Público contra os deputados Nikolas Ferreira (PL) e Bruno Engler (PL), além da deputada Delegada Sheila (PL) e da Coronel Cláudia (PL), por suposta campanha de desinformação nas eleições municipais de 2024 em Belo Horizonte. A informação foi publicada pelog1.
Com a decisão, os quatro se tornam réus por crimes eleitorais relacionados à propagação de informações falsas contra o então prefeito e candidato à reeleição, Fuad Noman (PSD), derrotado por Engler no segundo turno do pleito. Noman faleceu em março deste ano.
Segundo o Ministério Público, os réus participaram de uma campanha sistemática nas redes sociais para prejudicar a imagem de Fuad, utilizando de forma descontextualizada trechos do livro ""Cobiça"", publicado por ele em 2020. Na obra, uma personagem relata um abuso sexual infantil, mas, conforme o MP, os acusados distorceram o conteúdo para sugerir que o autor endossava o crime.
Além disso, os parlamentares também teriam acusado falsamente o então prefeito de expor crianças a conteúdo inapropriado durante um festival de quadrinhos promovido pela prefeitura. À época, a Justiça determinou a remoção do conteúdo das redes sociais.
Na denúncia, o MP destacou que Nikolas Ferreira teve papel central na ofensiva. “Usou seu alcance massivo nas redes sociais para produzir e disseminar conteúdo sabidamente falso e ofensivo, com o claro intuito de desequilibrar a disputa eleitoral”, afirma o documento.
A vice na chapa de Bruno Engler, Coronel Cláudia, e a deputada Delegada Sheila também foram denunciadas por compartilharem o conteúdo considerado falso e ofensivo. Apesar de procurados pelog1, Nikolas e Sheila não se manifestaram. Engler e Cláudia informaram que responderão apenas nos autos do processo.
O juiz Marcos Antônio de Souza, da 29ª Zona Eleitoral de Belo Horizonte, foi o responsável por aceitar a denúncia, afirmando que a peça do MP “traz elementos suficientes para abertura da ação penal, assegurando o direito de defesa dos acusados e definindo com precisão os limites da acusação”.
Caso sejam condenados por um colegiado, como o próprio TRE-MG, os réus podem ser declarados inelegíveis, conforme prevê a legislação eleitoral. O Ministério Público também pediu que, em caso de condenação definitiva, os direitos políticos dos acusados sejam suspensos.
A promotoria solicitou ainda que o juiz fixe uma indenização mínima por danos morais, a ser destinada a uma instituição de caridade. Segundo o MP, a família de Fuad Noman preferiu não receber a compensação."
8,Brasil já reúne indicadores para sair do Mapa da Fome da ONU,"247 –O Brasil está prestes a conquistar mais um marco na luta contra a fome. Segundo informações daAgência Gov, a Organização das Nações Unidas para a Alimentação e a Agricultura (FAO) deve anunciar, de forma extraoficial, entre os dias 27 e 29 de julho, durante cúpula em Adis Abeba, na Etiópia, que o país sairá novamente do Mapa da Fome. O anúncio oficial, previsto para julho de 2026, pode ser antecipado diante dos resultados expressivos já alcançados.
Na última quinta-feira (24), o presidente Lula demonstrou otimismo durante cerimônia em Minas Novas, no Vale do Jequitinhonha (MG). “Nós acabamos com a fome em 2014. Quando eu voltei em 2023, tinha 33 milhões de pessoas passando fome outra vez. Depois do golpe na Dilma, não cuidaram mais disso. Mas vocês vão ter uma surpresa: esta semana, o Brasil vai sair do Mapa da Fome outra vez”, declarou o presidente.
O ministro do Desenvolvimento Social e Combate à Fome, Wellington Dias, que representará o Brasil no Comitê de Segurança Alimentar da ONU, destacou os avanços recentes em entrevista ao programaBom dia, Ministro. Segundo ele, o Brasil já alcançou os patamares exigidos pela FAO para deixar o Mapa da Fome, graças à queda significativa da insegurança alimentar severa.
“Mesmo em 2023 e 2024, a gente já estaria fora do Mapa da Fome. Em 2023 a gente reduziu de 4,7% [da população em insegurança alimentar severa], caiu para 2,8%. E em 2024, eu acho que a gente deve ter ficado 2,3%, 2,4% para baixo. Com 2,5% para baixo, já sai do Mapa da Fome”, explicou Dias.
A FAO adota critérios baseados na média dos últimos três anos, o que empurraria o anúncio oficial para 2026. No entanto, com os números atuais, o reconhecimento antecipado extraoficial se tornou possível.
O Brasil havia saído do Mapa da Fome pela primeira vez em 2014, após 11 anos de políticas sociais consistentes. Porém, entre 2019 e 2022, houve um retrocesso expressivo, com crescimento da pobreza e da insegurança alimentar, culminando no retorno do país ao indicador de fome extrema da ONU.
Em 2023, no primeiro ano do novo governo Lula, o cenário começou a mudar. Dados mostram que 14,7 milhões de brasileiros deixaram de passar fome, reduzindo a insegurança alimentar severa de 17,2 milhões de pessoas em 2022 para 2,5 milhões. A queda percentual foi de 8% para apenas 1,2% da população. Para o ministro Wellington Dias, trata-se de um feito sem precedentes: “Veja que o Brasil já é o país que saiu da fome em menos tempo, 11 anos [em 2014]. Agora vamos alcançar em três anos”.
Segundo ele, a redução da miséria e da pobreza também é histórica. “A miséria estava em 9%. O Banco Mundial divulgou agora, caiu para 4%. A pobreza estava em 37% em 2021, caiu agora para 23%, segundo o Banco Mundial, a FGV e vários estudos do IBGE. Nós tivemos a maior redução da desigualdade da história do Brasil. Todos esses indicadores são recordes”, afirmou o ministro.
O novo Bolsa Família, reformulado em 2023, tem sido um dos pilares centrais dessa transformação. Com valor mínimo de R$ 600 por família, além de adicionais para crianças, gestantes e adolescentes, o programa vem provocando impactos diretos na segurança alimentar, sobretudo na primeira infância.
Um estudo do Ministério do Desenvolvimento Social, em parceria com a Fundação Maria Cecilia Souto Vidigal, mostrou que houve redução de 91,7% no número de crianças pequenas vivendo em situação de pobreza ou extrema pobreza.
Além disso, a criação de empregos e o estímulo ao empreendedorismo foram determinantes para o aumento da renda das famílias. De acordo com o Cadastro Geral de Empregados e Desempregados (Caged), das 1,7 milhão de vagas com carteira assinada geradas em 2024, 98,8% foram preenchidas por pessoas inscritas no CadÚnico, e 75,5% eram beneficiárias do Bolsa Família.
O processo de desligamento gradual de famílias do programa, por elevação de renda, também reflete o sucesso da política social aliada ao crescimento econômico. Cerca de um milhão de famílias deixarão de receber o benefício em julho. A maioria — 536 mil — fez essa transição amparada pela Regra de Proteção, que permite a manutenção parcial do benefício por até dois anos.
Mesmo após esse período, famílias que voltarem à situação de vulnerabilidade são automaticamente reencaminhadas ao programa, graças à política do Retorno Garantido. Outros 385 mil domicílios ultrapassaram em julho o limite de meio salário mínimo por pessoa, também saindo do programa.
O combate à fome no Brasil não se resume ao Bolsa Família. Iniciativas como o Programa de Aquisição de Alimentos (PAA) e o Sistema Nacional de Segurança Alimentar e Nutricional (Sisan) fortalecem uma rede de proteção ampla, que envolve segurança alimentar, fortalecimento da agricultura familiar, acesso à renda e políticas de educação e saúde.
Ao que tudo indica, a política social brasileira dá sinais concretos de que é possível combater a fome com celeridade e eficiência. A possível saída do Brasil, em apenas três anos, do Mapa da Fome, reforça essa trajetória de reconstrução e aponta para um novo ciclo de desenvolvimento inclusivo."
9,"Lula: 'Se abaixar a cabeça, eles colocam uma cangalha e a gente não levanta mais'","247 –Durante evento realizado nesta quinta-feira (24), no município de Minas Novas (MG), o presidente Luiz Inácio Lula da Silva criticou duramente a política tarifária adotada pelo presidente dos Estados Unidos, Donald Trump, e alertou para os riscos de subserviência internacional.
O discurso foi feito em cerimônia que anunciou R$ 1,7 bilhão em políticas públicas educacionais voltadas a indígenas e quilombolas. Diante de lideranças tradicionais da região do Vale do Jequitinhonha, Lula abordou a guerra comercial imposta por Trump ao Brasil e reiterou o compromisso do governo federal em proteger os setores produtivos afetados. “Não abaixe a cabeça nunca. Porque se você abaixar a cabeça, eles botam uma cangalha e a gente não levanta mais”, afirmou o presidente, sob aplausos do público, referindo-se à armação usada para transporte de cargas em animais.
'Ninguém respeita quem não se respeita'
Lula compartilhou um episódio simbólico de sua primeira participação no Fórum Econômico Mundial, em Davos, no ano de 2003. Segundo ele, ao chegar a uma sala de reuniões acompanhado do então chanceler Celso Amorim, nenhum dos líderes presentes se levantou para cumprimentá-lo. No entanto, quando o então presidente dos EUA, George W. Bush, entrou na sala, todos se levantaram. “Eu disse ao Celso Amorim: ‘Não vamos nos levantar’. E o Bush foi lá e nos cumprimentou e sentou com a gente. Sabe o que eu aprendi? Ninguém respeita quem não se respeita”, relatou Lula, destacando a importância da dignidade e da soberania nas relações internacionais.
Frente às sanções comerciais impostas por Trump — que assumiu seu segundo mandato em janeiro de 2025 — Lula declarou que continuará tentando negociar com os Estados Unidos, mas advertiu que o governo não aceitará humilhações. Ele também prometeu apoio aos setores econômicos brasileiros prejudicados pelas medidas protecionistas norte-americanas. “Eu tenho lado. E o meu lado é o povo pobre deste país”, disse o presidente, reforçando o caráter popular de seu governo.
Em um dos momentos mais incisivos de sua fala, Lula acusou diretamente a família Bolsonaro de atuar contra os interesses nacionais. Ele afirmou que membros da família do ex-presidente pediram a Trump, de maneira deliberada, que interviesse junto ao Supremo Tribunal Federal (STF) para suspender investigações contra Jair Bolsonaro. “É uma vergonha, uma falta de caráter, falta de coragem”, criticou Lula, qualificando a atitude como antinacional e covarde.
Além do debate sobre geopolítica e economia, o presidente também reiterou seu compromisso com os povos tradicionais do Brasil. “Vim reconhecer os saberes do povo dessa região”, declarou, referindo-se aos saberes ancestrais das comunidades indígenas e quilombolas do Vale do Jequitinhonha. A destinação de R$ 1,7 bilhão para políticas educacionais específicas foi celebrada como um marco de valorização cultural e inclusão."
