id,titulo,corpo
0,Licenciamento ambiental: Relator prevê que Câmara deve derrubar parte dos vetos de Lula,"O relator do projeto que deu origem à nova lei de licenciamento ambiental, deputado Zé Vitor (PL-MG), criticou a exigência do Cadastro Ambiental Rural (CAR) homologado para a concessão de licenças. Ele afirma que aCâmara dos Deputadosdeve derrubar parte dos vetos presidenciais à lei e cobrou mais celeridade dos órgãos ambientais estaduais na análise dos cadastros.
A nova legislação, que passou por 63 vetos do presidenteLula, estabeleceu o CAR homologado como um dos pré-requisitos para o licenciamento ambiental. No entanto, o deputado Zé Vitor argumenta que a responsabilidade pela análise e validação do CAR é dos próprios órgãos estaduais. Segundo ele, os produtores rurais já cumpriram sua parte ao realizarem o cadastro e agora dependem do retorno desses órgãos para regularizar suas situações.
Em resposta às demandas por mais agilidade, o governo federal criou um licenciamento ambiental especial para projetos considerados estratégicos, com a promessa de análises mais rápidas. Contudo, o Ministério do Meio Ambiente já sinalizou que não haverá eliminação de etapas no processo. Resta a dúvida sobre quais projetos serão classificados como estratégicos e quem terá o poder de decisão sobre essa definição.
Outro ponto de atrito foi o veto presidencial à transferência de competência para que estados e o Distrito Federal pudessem definir seus próprios critérios de licenciamento. O governo federal determinou que devem ser seguidos parâmetros nacionais, centralizando as decisões no Ibama. Para o deputado Zé Vitor, essa medida vai na contramão do que já é praticado por muitos órgãos estaduais, que possuem experiência e estrutura para realizar o licenciamento e a fiscalização ambiental.
*Com informações de Mariana Grilli
*Reportagem produzida com auxílio de IA"
1,Motta diz que pautará projetos sobre crianças após denúncia de youtuber que ‘explodiu’ nas redes sociais,"O presidente da Câmara dos Deputados,Hugo Motta(Republicanos-PB), afirmou que vai pautar, ainda nesta semana, projetos sobre a proteção de crianças nas redes sociais. A declaração foi motivada pelo vídeo de denúncia produzido pelo influenciador Felipe Bressanim Pereira, de 27 anos, conhecido como Felca. Na última quarta-feira (6), oyoutuberpublicou um vídeo denunciando casos de exploração de menores em plataformas digitais. A gravação, que já ultrapassou 24 milhões de visualizações, gerou ampla repercussão.
“O vídeo do Felca sobre a ‘adultização’ das crianças chocou e mobilizou milhões de brasileiros. Esse é um tema urgente, que toca o coração da nossa sociedade. Na Câmara, há uma série de projetos importantes sobre o assunto. Nesta semana, vamos pautar e enfrentar essa discussão”, disse Motta.
No material, Felca expôs o caso do paraibano Hytalo Santos, que registra sua rotina ao lado de menores de idade. Santos é investigado pelo Ministério Público da Paraíba por suposto aliciamento de menores. O influenciador também apontou como algoritmos das plataformas podem facilitar a aproximação entre abusadores e vítimas.
Siga o canal da Jovem Pan News e receba as principais notícias no seu WhatsApp!WhatsApp
Outros parlamentares também se manifestaram. O deputado federalNikolas Ferreira(PL-MG), o mais seguido nas redes sociais, afirmou que Felca “mexeu no vespeiro” e desejou que “Deus o abençoe nessa jornada”. Já a deputada federalErika Hilton(PSOL-SP) elogiou a “postura ativa e cidadã” do youtuber.
*Com informações do Estadão ConteúdoPublicado por Felipe Dantas
Leia tambémQuem é Felca, o youtuber que denunciou exploração de menores nas redes sociais"
2,"‘É revoltante ver Bolsonaro usando tornozeleira’, diz Zucco após visita ao ex-presidente","O líder da oposição na Câmara, o deputado gaúchoLuciano Zucco(PL-RS), visitou o ex-presidente Jair Bolsonaro nesta quinta-feira (14), após a autorização do ministro doSupremo Tribunal Federal (STF),Alexandre de Moraes. Zucco levou carnes e outros itens para um churrasco na residência do ex-mandatário. Após o almoço, o deputado conversou com a imprensa e comentou sobre o estado de saúde do ex-presidente. “É revoltante a gente ver um ex-presidente da República usando tornozeleira, com muito soluço, com uma saúde debilitada”, declarou Zucco.
O deputado também criticou a situação jurídica de Bolsonaro, afirmando que ele está “sendo cerceado na sua liberdade, sendo preso sem ter sido nem condenado”. Zucco disse que sua visita foi um gesto de amizade e apoio, e que aproveitou a oportunidade para discutir o trabalho da oposição no Congresso Nacional. Ele ainda mencionou que a oposição está denunciando o que considera “abusos” do ministro Alexandre de Moraes para todas as embaixadas, por meio de uma carta de denúncia internacional."
3,Barroso rebate acusação sobre autoritarismo do Judiciário no Brasil,"O presidente do Supremo Tribunal Federal (STF), ministroLuís Roberto Barroso, rebateu nesta segunda-feira (18) acusações de que há no país uma “ditadura do Judiciário”. Sem citar críticas de apoiadores do ex-presidenteJair Bolsonaro, Barroso disse que considera “imprópria e injusta” a acusação. O ministro participou de um evento em Cuiabá. “Só afirma isso quem nunca viveu uma ditadura. Ditaduras são regimes políticos com falta de liberdade, em que há censura, pessoas que são aposentadas compulsoriamente. Nada disso acontece no Brasil”, afirmou. Barroso também descartou rumores de que deixará o Supremo após sair da presidência da Corte. “Não estou me aposentando, estou feliz da vida”, completou. No dia 29 de setembro, Barroso deixará o cargo após completar mandato de dois anos. Ele será sucedido por Edson Fachin. O vice-presidente será o ministroAlexandre de Moraes.
A Justiça Brasileira tem sido alvo de ataques de autoridades dos Estados Unidos, que acusam o Supremo Tribunal Federal de violar a liberdade de expressão em decisões contra empresas de tecnologia americanas e de perseguir o ex-presidente Jair Bolsonaro no julgamento da trama de golpe de Estado que culminou no 8 de janeiro de 2025, quando apoiadores de Bolsonaro atacaram as sedes dos Três Poderes, em Brasília.
No fim de julho, o Escritório de Controle de Ativos Estrangeiros (OFAC) dos Estados Unidos (EUA) aplicou sanções financeiras contra o ministro do Supremo Tribunal Federal (STF) Alexandre de Moraes com base em uma lei local, a Lei Magnitsky, criada para punir supostos violadores de direitos humanos no exterior. O órgão do Departamento de Tesouro do país norte-americano acusa Moraes de violar a liberdade de expressão e autorizar “prisões arbitrárias”.
As tentativas de interferências na Justiça Brasileira tiveram início depois que o deputado federal Eduardo Boilsonaro se licenciou do cargo na Câmara e foi aos Estados Unidos, passando a defender sanções contra ministros do STF e ações contra o Brasil. Diante disso, a Procuradoria-Geral da República (PGR) pediu a abertura de nova investigação contra Eduardo e o pai, Jair, para apurar tentativa de obstrução do processo penal
Os americanos também citaram esses argumentos para justificar as tarifas de 50% impostas pelos Estados Unidos sobre importações vindas do Brasil. Apesar de prever mais de 700 exceções, as tarifas afetam setores importantes da economia brasileira, como o agronegócio.
Apoiadores do ex-presidente Jair Bolsonaro protagonizaram recentemente um motim no Congresso Nacional contra a decisão em que Moraes determinou a prisão domiciliar de Bolsonaro, pelo descumprimento reiterado de medidas cautelares. Deputados e senadores ocuparam as mesas diretoras das duas Casas para obstruir as votações, até que fosse votado um projeto que prevê anistia aos condenados e acusados pelos ataques do 8 de janeiro, além de um pedido de impeachment de Moraes e mudanças no foro de senadores e deputados para que eles não fossem mais julgados pela Suprema Corte.
O presidente da Câmara dos Deputados,Hugo Motta(Republicanos), enviou à Corregedoria da Casa pedidos de afastamento, por até seis meses, de 14 deputados da oposição que participaram do motim.
*Com informações da Agência BrasilPublicado por Fernando Dias"
4,Moraes pediu para segurança checar celular de advogado em audiência da trama golpista,"O ministroAlexandre de Moraes, do Supremo Tribunal Federal (STF), pediu uma averiguação do celular do advogado Marcus Vinicius de Camargo Figueiredo, que representa o general Mário Fernandes, réu da trama golpista, durante a audiência de acareação entre os réus Marcelo Câmara eMauro Cid, ambos ex-ajudantes de ordens do ex-presidenteJair Bolsonaro(PL). O caso ocorreu na manhã da quarta-feira (13).
Moraes pediu para um segurança do STF checar o celular do defensor após suspeitar que Figueiredo estivesse gravando a audiência, violando uma determinação do magistrado. Os relatos do episódio foram obtidos pelo jornal Folha de S Paulo.
Câmara e Cid estiveram frente a frente para esclarecer versões divergentes sobre a “minuta do golpe”, o esboço de um documento que anularia o resultado das eleições de 2022, e quanto ao suposto monitoramento de Alexandre de Moraes.
Sobre o segundo ponto, os réus mantiveram suas versões. Câmara negou monitorar o ministro, enquanto Mauro Cid afirmou que desconhecia qualquer participação do colega no plano “Punhal Verde e Amarelo”, que previa o assassinato de autoridades como Lula, Geraldo Alckmin e Alexandre de Moraes.
No momento em que o relator formalizava os depoimentos dos réus para a ata da audiência, o advogado de Mário Fernandes interveio com uma questão de ordem. O defensor do general pediu que fosse esclarecida a participação de seu cliente na operação “Punhal Verde e Amarelo”.
Moraes indeferiu o pedido, alegando que o tema não era pertinente à audiência entre Câmara e Cid. O advogado solicitou que a questão de ordem constasse nos autos da audiência. Moraes, novamente, negou o pedido do defensor.
Nesse momento, Marcus Figueiredo se irritou. Em seguida, Moraes pediu a um segurança que averiguasse o celular do advogado, a fim de checar se a audiência estava sendo gravada. Segundo relatos, o defensor elevou o nível da voz para informar a senha do aparelho. Conforme averiguado, o advogado não estava gravando a reunião.
Em depoimento ao STF, o general Mário Fernandes assumiu a autoria do “Punhal Verde e Amarelo”. O ex-secretário-executivo da Secretaria-Geral da Presidência alegou que o esboço se tratava de um “pensamento digitalizado” e que, após imprimir o documento, descartou-o.
Câmara e Fernandes são réus do núcleo 2 da trama golpista, grupo que, segundo a PGR, foi responsável por operacionalizar a tentativa de golpe, enquanto Cid é réu do núcleo 1, também chamado de “núcleo crucial”.
*Com informações do Estadão Conteúdo
Publicado por Nátaly Tenório"
5,Carla Zambelli vai ficar presa até Justiça italiana avaliar questões de saúde da deputada,"A deputada federalCarla Zambelli(PL-SP), que é considerada foragida pela Justiça do Brasil, esteve nesta quarta-feira (13) no Tribunal de Roma, naItália, para participar de uma audiência referente ao processo em que o país analisa a possibilidade de sua extradição. Ao chegar ao Tribunal de Apelações romano, porém, Zambelli afirmou não estar se sentindo bem, o que levou ao adiamento da sessão.
Não houve decisão sobre a possibilidade de Zambelli aguardar o processo de extradição em liberdade ou em prisão domiciliar. A defesa da deputada federal alega questões de saúde e pede que a parlamentar aguarde o trâmite da extradição fora da penitenciária feminina de Rebibbia, em Roma, onde está detida. Um perito da Justiça italiana avaliará o estado de saúde de Zambelli. Até essa avaliação, a parlamentar seguirá presa. O processo de extradição de Zambelli pode durar de um ano e meio a dois anos.
Zambelli foi condenada pelo Supremo Tribunal Federal (STF) por ter pedido a um hacker a invasão dos sistemas do Conselho Nacional de Justiça (CNJ), para emitir um mandado de prisão falso contra o ministro da CorteAlexandre de Moraes. A sentença também determina a perda do cargo na Câmara.
Após a condenação, a parlamentar fugiu do país, passando a ser foragida da Justiça brasileira. Ela foi presa na Itália em 29 de julho. Zambelli também é ré por empunhar uma arma contra um homem na véspera do segundo turno da eleição presidencial de 2022. O julgamento por porte ilegal de arma e constrangimento ilegal está pausado por um pedido de vista do ministro Kassio Nunes Marques, mas já há maioria entre os ministros para condená-la.
*Com informações do Estadão Conteúdo
Publicado por Nátaly Tenório"
6,Maioria do STF vota a favor da União em disputa previdenciária,"A maioria dos ministros doSupremo Tribunal Federal (STF)votou para manter a aplicação do fator previdenciário sobre aposentadorias concedidas pelas regras de transição da reforma da Previdência de 1998. O tema tem repercussão geral, e o desfecho do julgamento deve servir de orientação para todos os tribunais do país. O julgamento ocorre no plenário virtual, com sessão prevista para durar até as 23h59 desta segunda-feira (18). O voto da maioria será confirmado caso não haja pedido de vista (mais tempo de análise) ou de destaque (remessa do caso ao plenário físico). Uma vez confirmada, a decisão evita impacto de R$ 131,3 bilhões sobre os cofres da União, segundo estimativa apresentada pelaAdvocacia-Geral da União (AGU). O valor corresponde à revisão de benefícios pagos entre os anos 2016 e 2025, segundo o órgão.
Criado em 1999, o fator previdenciário é um redutor aplicado sobre o valor do benefício e que leva em consideração fatores como idade, tempo de contribuição e expectativa de vida. A ideia foi desestimular aposentadorias precoces. Muitos aposentados, contudo, passaram a reclamar na Justiça por terem os benefícios submetidos a regras diferentes daquelas previstas nas regras de transição da reforma da Previdência de 1998, que resultava em benefícios melhores.
No caso analisado pelo Supremo, uma aposentada do Rio Grande do Sul que deu entrada no benefício em 2003 reclamou por ter sido submetida a duas regras para a redução do benefício, aquelas da transição e mais o fator previdenciário. Ela argumentou que possuía, ao se aposentar, a confiança legítima de que seriam aplicadas apenas as regras de transição. Para a maioria do Supremo, no entanto, a aplicação do fator previdenciário foi legítima, uma vez que as regras de transição não garantem que a aposentadoria não seja submetida a normas posteriores que visem ao equilíbrio atuarial da Previdência Social e garantam a aplicação do princípio contributivo, isto é, o princípio de que quem contribuiu mais ganha mais.
“A criação do fator previdenciário insere-se nesse contexto de ajustes estruturais necessários. Ao vincular o valor da renda mensal inicial à expectativa de vida e ao tempo de contribuição do segurado, o fator não viola a confiança legítima, mas realiza uma adequação atuarial compatível com o modelo contributivo estabelecido pela Constituição”, escreveu o relator, ministro Gilmar Mendes, em seu voto. Até o momento, seguiram esse entendimento na íntegra os ministrosAlexandre de Moraes, Cristiano Zanin, Flávio Dino, André Mendonça e Luiz Fux, formando maioria.
*Com informações da Agência Brasil
"
7,Defesa de Bolsonaro diz que não há provas contra ele e que ex-presidente não agiu para impedir posse de Lula,"A defesa do ex-presidenteJair Bolsonaroentregou aoSupremo Tribunal Federal (STF)suas alegações finais na investigação sobre o ataque de 8 de Janeiro, e afirmou que nunca agiu para impedir a posse do presidenteLuiz Inácio Lula da Silva(PT) e que sempre defendeu a democracia. “Em momento algum Jair Bolsonaro praticou qualquer conduta que tivesse por finalidade impedir ou dificultar a posse do então presidente eleito Luiz Inácio Lula da Silva. Pelo contrário, sempre defendeu e reafirmou a democracia e o Estado de Direito”, diz a defesa.
Os advogados afirmam que o documento encontrado na casa do ex-ministro Anderson Torres, que previa a decretação de um Estado de Defesa, era “apócrifo” (sem autoria comprovada) e que Bolsonaro nunca teve conhecimento de sua existência nem ordenou sua elaboração, e que as reuniões do ex-mandatário com comandantes das Forças Armadas foram para tratar de “assuntos institucionais” e não para planejar um golpe de Estado. A defesa defende que Bolsonaro é “inocente de todas imputações formuladas na denúncia”.
“Demonstrou-se a absoluta ausência de provas e o manifesto divórcio entre a acusação e o direito. Demonstrou-se que os atos imputados na denúncia jamais poderiam ser qualificados como criminosos, seja por que expressamente excluídos do âmbito de incidência penal pelo legislador, seja porque, ainda que adotada a lógica da denúncia, os atos se revelariam, quando muito, como atos preparatórios”, pontua o texto. Após a entrega das alegações finais da defesa, a PGR dará seu parecer sobre o caso.
Em seguida, o ministro relator, Alexandre de Moraes, elaborará seu voto, e o processo será levado a julgamento pelo plenário do STF, que decidirá se as acusações contra Bolsonaro serão aceitas, tornando-o réu, ou se serão arquivadas. O STF deve julgar o caso nas próximas semanas. Atualmente, Bolsonaro está em prisão domiciliar, por tentar atrapalhar o processo sobre golpe de Estado, de acordo com o relator do caso, ministro Alexandre de Moraes."
8,Corregedor da Câmara dos Deputados deve pedir mais prazo para analisar caso de obstrução,"O corregedor daCâmara dos Deputados, Diego Coronel (PSD-BA), deve solicitar nesta terça-feira (12) um prazo maior para analisar as representações contra 14 parlamentares da oposição que ocuparam o plenário da Casa na última semana. Nos bastidores, a decisão final sobre o novo cronograma será discutida em uma reunião de líderes agendada para esta manhã.Inicialmente, o rito da Corregedoria prevê um prazo de 48 horas para a análise. No entanto, o corregedor considera o tempo curto e pretende propor a concessão de cinco dias úteis para que os deputados apresentem suas defesas prévias, conforme garante uma resolução interna de 2009. Além disso, Coronel planeja pedir até 45 dias para concluir seu parecer final antes de encaminhá-lo à Mesa Diretora e, posteriormente, ao Conselho de Ética.
O objetivo do prazo estendido é garantir o contraditório e a ampla defesa, evitando decisões apressadas em um caso considerado complexo. As representações foram abertas pelo presidente da Câmara, Hugo Motta, após um protesto de cerca de 30 horas contra a prisão domiciliar doex-presidente Jair Bolsonaro.
Analistas políticos avaliam que a extensão do prazo, embora legítima para assegurar o devido processo legal, pode diluir o impacto político do caso e gerar uma sensação de impunidade na sociedade. O comentarista José Maria Trindade observa que o Congresso tem se desgastado com “briguinhas de plenário”, enquanto questões mais graves, como corrupção, não recebem a mesma atenção do Conselho de Ética.
*Com informações de Aline Beckety
*Reportagem produzida com auxílio de IA
"
9,União e PP formalizam federação e criam um novo partido já dividido,"OPPeUnião Brasilselaram aliança, nesta terça-feira (19), com a assinatura que forma a federação partidária entre os dois partidos, chamada União Progressista. No dia da criação, o grupo expôs divisão sobre ser ou não oposição ao governo do presidenteLuiz Inácio Lula da Silva.
Enquanto o presidente do Senado,Davi Alcolumbre(União-AP) disse que a nova federação não é contra ou a favor do governo, os presidentes do União Brasil, Antônio Rueda, e do PP,Ciro Nogueira, disseram o contrário.
A oposição compareceu com volume e discursos críticos a Lula. Do grupo, discursaram o governador deSão Paulo,Tarcísio de Freitas, o governador do Distrito Federal, Ibaneis Rocha (MDB), o governador de Goiás, Ronaldo Caiado (União) e ainda houve pedido de aplausos para o ex-presidenteJair Bolsonaro(PL).
Presidenciáveis como Tarcísio e Caiado cogitam o apoio da federação. O União Progressista terá a maior bancada na Câmara dos Deputados, com 109 cadeiras e no Senado Federal, com 15 parlamentares. Além disso, a federação terá o maior número de governadores, no total são sete, e de prefeitos eleitos em 2024: foram 1.383. A federação também terá a maior fatia do fundo eleitoral (R$ 953,8 milhões, segundo valores de 2024) e do fundo partidário (R$ 197,6 milhões).
“A gente pode celebrar a junção de excelentes quadros. Eu como estrangeiro (Tarcísio é do Republicanos) nessa reunião quero dizer parabéns por esse passo e pode ter certeza que o Brasil conta com vocês”, disse Tarcísio.
Enquanto Nogueira define o novo grupo como “oposição conservadora”, ministros de ambas as legendas mantém os cargos na Esplanada. Caiado ainda cobrou uma posição clara da federação “Vamos desembarcar do governo o mais rápido possível”, disse Ciro Nogueira.
Outras lideranças até preferem dizer que o União Progressista não é nem governo e nem base. “Não é um movimento de oposição e situação. Foi um movimento de política com ‘P’ maiúsculo com o olhar voltado para o futuro do Brasil”, disse Alcolumbre.
O evento, realizado em Brasília, contou com a presença das principais figuras dos dois partidos e de outras legendas. Vieram, entre os ministros, André Fufuca (Esporte) e Celso Sabino (Turismo).
Além desses dois, o União Brasil tem outros dois indicados no governo Lula: Waldez Góes, da Integração, e Frederico Siqueira, da Comunicação. Integrantes do partido defendem que Góes e Siqueira não são exatamente indicações do União Brasil, mas de Alcolumbre. A nível pessoal, o próprio Fufuca disse que está com Lula. “Meu voto pessoal é dele (Lula)”, disse. Também compareceram, entre outros, o presidente do PL, Valdemar Costa Neto, e o ex-ministro Ciro Gomes (PDT). Nenhum petista veio.
Esse é o último passo até a formalização do grupo, a ser feita no Tribunal Superior Eleitoral (TSE). Há decisões ainda a serem tomadas rumo à disputa eleitoral em 2026. De um lado, alas do PP defendem maior alinhamento ao ex-presidente Jair Bolsonaro (PL), já o União tem um pré-candidato para a disputa pela Presidência da República no próximo ano: o governador de Goiás, Ronaldo Caiado.
O próprio Caiado cobrou uma posição clara da federação. “Partido tem que ter rumo, partido tem que voz clara. É preciso que o partido lance candidato, tenha posição clara e que a posição é derrotar Lula na eleição de 2026. Não tem opção”, disse.
Poucos minutos depois, o governador deSanta Catarina,Jorginho Mello(PL) pediu aplausos a Bolsonaro. Maior parte dos políticos presentes aplaudiu. O cenário de indecisão pode render problemas no futuro em alguns Estados. Em lugares como Bahia ou Paraíba, o PP faz parte da base do governo estadual enquanto o União compõe a oposição e pretende disputar a eleição em 2026. Essas decisões geralmente são tomadas pelos diretórios estaduais, mas tamanho o impasse, alguns desses diretórios ficarão vagos.
O estatuto definido em convenção definiu que, em caso de conflito, a decisão em torno das candidaturas majoritárias estaduais será submetida a decisão do diretório nacional. Mesmo o diretório nacional passa por uma disputa de forças. Neste ano, a presidência será dividida entre os presidentes do PP, Ciro Nogueira, e do União, Antônio Rueda.
Sem definição, líderes do partido dizem que esperam até a janela partidária (período em que políticos podem trocar de partido sem perder o mandato), em abril de 2026, para fechar questão sobre o tema.
*Com informações do Estadão Conteúdo
Publicado por Nátaly Tenório"
